user_id,user_name,query_index,query_datetime,mse,mae,nmse,nmae,mase
0,0,503,1991-05-19T00:00:00.000000,0.0003031351079698652,0.014123156666755676,0.8366121053695679,0.7419518828392029,4.806459426879883
1,1,503,1991-05-19T00:00:00.000000,0.006571531295776367,0.07058967649936676,0.5012370944023132,0.61649489402771,7.379683017730713
2,2,503,1991-05-19T00:00:00.000000,0.0005723066278733313,0.021137330681085587,4.198581695556641,1.8104521036148071,13.15194320678711
3,3,503,1991-05-19T00:00:00.000000,0.002385827712714672,0.04326349124312401,0.9956467151641846,0.8838013410568237,9.762012481689453
4,4,503,1991-05-19T00:00:00.000000,1.3746939657721668e-06,0.0009378399117849767,0.009682554751634598,0.07870832085609436,13.11901569366455
5,5,503,1991-05-19T00:00:00.000000,1.3282382838042395e-07,0.0003047973441425711,0.5970479846000671,0.6462161540985107,8.686784744262695
6,6,503,1991-05-19T00:00:00.000000,0.00018565873324405402,0.011872826144099236,0.34379756450653076,0.5109139680862427,9.970992088317871
7,OT,503,1991-05-19T00:00:00.000000,3.5269567888462916e-05,0.00492265447974205,0.09303305298089981,0.2528237998485565,2.4251646995544434
0,0,1015,1992-10-12T00:00:00.000000,0.0001798708108253777,0.01054361741989851,0.15633249282836914,0.31083789467811584,3.844466209411621
1,1,1015,1992-10-12T00:00:00.000000,0.0040895976126194,0.05745388939976692,0.15582655370235443,0.35464993119239807,6.0818891525268555
2,2,1015,1992-10-12T00:00:00.000000,0.0003610188141465187,0.014542704448103905,0.28187131881713867,0.4063551425933838,7.807977676391602
3,3,1015,1992-10-12T00:00:00.000000,0.005095414351671934,0.06337009370326996,3.803528308868408,1.7313621044158936,13.956869125366211
4,4,1015,1992-10-12T00:00:00.000000,1.9454846551525407e-05,0.003258646000176668,0.04100007563829422,0.1495944857597351,15.92981243133545
5,5,1015,1992-10-12T00:00:00.000000,4.1115860938134574e-08,0.00016806692292448133,0.07839729636907578,0.23207487165927887,4.141770362854004
6,6,1015,1992-10-12T00:00:00.000000,0.0006307419389486313,0.021788340061903,6.889216423034668,2.2771055698394775,21.857580184936523
7,OT,1015,1992-10-12T00:00:00.000000,0.001409632503055036,0.034326549619436264,5.969119071960449,2.233738422393799,20.895872116088867
0,0,1527,1994-03-08T00:00:00.000000,6.261657836148515e-05,0.00617626728489995,0.21221613883972168,0.35955938696861267,2.5335700511932373
1,1,1527,1994-03-08T00:00:00.000000,0.006676213350147009,0.06323114037513733,6.298209190368652,1.942112922668457,12.016488075256348
2,2,1527,1994-03-08T00:00:00.000000,4.25654579885304e-05,0.004662252496927977,0.4152472913265228,0.4604903757572174,3.0940780639648438
