horizon,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
1,605873.0,344752.0,743.0,232.0,1.3919097930192947,1.3225849121809006,0.9554342925548553,0.6921381056308746,2.7238563299179077,0.9679723978042603
2,627534.5,346634.5,758.5,228.5,1.4955749586224556,1.4245331212878227,0.9876845628023148,0.721147820353508,2.8032965064048767,1.0258017182350159
3,778997.0,459772.0,839.0,274.0,1.7044276930391788,1.6140897534787655,1.0611212700605392,0.7605585604906082,3.043186068534851,1.0387769937515259
4,729212.5,294931.5,835.5,176.5,2.294636845588684,2.219950556755066,1.199021890759468,0.9257339686155319,3.2918019890785217,1.469284474849701
5,705434.0,330890.0,815.0,203.0,1.9845816530287266,1.909007128328085,1.124063029885292,0.8491548150777817,3.127423942089081,1.294101059436798
6,525926.5,118882.5,720.5,82.5,2.139233475551009,2.092210406437516,1.1369476988911629,0.9200996682047844,3.027747690677643,1.581619679927826
7,467478.5,23922.5,683.5,17.5,2.570363448932767,2.5380168687552214,1.2200120761990547,1.0401605293154716,3.1319639682769775,1.9325602054595947
