user_id,user_name,query_index,query_datetime,mse,mae,nmse,nmae,mase
0,0,29,1990-01-30T00:00:00.000000,1.62229534907965e-05,0.0032825300004333258,0.0739014521241188,0.22154921293258667,0.8469153046607971
1,1,29,1990-01-30T00:00:00.000000,0.00014926400035619736,0.009413770399987698,0.24968194961547852,0.3850167691707611,1.357532024383545
2,2,29,1990-01-30T00:00:00.000000,7.904282028903253e-06,0.002380779944360256,0.06835269182920456,0.22139400243759155,1.009763240814209
3,3,29,1990-01-30T00:00:00.000000,1.6750382201280445e-05,0.0033418708480894566,0.15128251910209656,0.317593514919281,0.7448011040687561
4,4,29,1990-01-30T00:00:00.000000,0.0,0.0,0.0,0.0,0.0
5,5,29,1990-01-30T00:00:00.000000,2.466699067227296e-10,1.2340025023149792e-05,0.146590918302536,0.30082330107688904,0.5163946151733398
6,6,29,1990-01-30T00:00:00.000000,6.184536687214859e-07,0.0006932446267455816,0.030534964054822922,0.15403932332992554,0.5848664045333862
7,OT,29,1990-01-30T00:00:00.000000,3.1530176784144714e-05,0.005275513511151075,0.6150013208389282,0.736782968044281,1.8148221969604492
0,0,541,1991-06-26T00:00:00.000000,1.3322599443199579e-05,0.0032781788613647223,1.440822720527649,1.0780613422393799,2.1606194972991943
1,1,541,1991-06-26T00:00:00.000000,6.994688010308892e-05,0.007047721650451422,0.12065277993679047,0.29270708560943604,0.8555201292037964
2,2,541,1991-06-26T00:00:00.000000,3.869515694532311e-06,0.0017314383294433355,0.2361699640750885,0.42775100469589233,0.9754393100738525
3,3,541,1991-06-26T00:00:00.000000,4.865336450166069e-06,0.00181400787550956,0.042165059596300125,0.16887255012989044,0.4538499116897583
4,4,541,1991-06-26T00:00:00.000000,1.4795705771675216e-09,3.8127815059851855e-05,0.07054559886455536,0.2632746398448944,0.8531401753425598
5,5,541,1991-06-26T00:00:00.000000,4.0703454495805147e-10,1.740375955705531e-05,0.021568644791841507,0.12668898701667786,0.5965825319290161
