user_id,user_name,query_index,query_datetime,mse,mae,nmse,nmae,mase
0,UCUR,167,2020-07-11T19:00:00.000000,0.0017547986935824156,0.03111666813492775,0.44743871688842773,0.4968739449977875,2.3232810497283936
1,VCUR,167,2020-07-11T19:00:00.000000,0.00240276544354856,0.04331482946872711,0.4006040692329407,0.5592920780181885,1.9734214544296265
2,WCUR,167,2020-07-11T19:00:00.000000,3.5242906051280443e-06,0.0013800347223877907,0.5921319723129272,0.565670371055603,0.9054445028305054
3,TEMP,167,2020-07-11T19:00:00.000000,0.0010196426883339882,0.02975718304514885,0.06167353317141533,0.23142871260643005,1.6803817749023438
4,PRES_REL,167,2020-07-11T19:00:00.000000,0.026185929775238037,0.13435015082359314,0.39887040853500366,0.5243484973907471,1.4355802536010742
5,ABSIC1,167,2020-07-11T19:00:00.000000,24.103042602539062,3.696031332015991,0.35028815269470215,0.4455663561820984,1.1822203397750854
0,UCUR,679,2020-08-02T03:00:00.000000,0.0016118865460157394,0.03312629088759422,0.8316243886947632,0.7524353265762329,2.4453752040863037
1,VCUR,679,2020-08-02T03:00:00.000000,0.030776947736740112,0.15134941041469574,1.9113292694091797,1.1927123069763184,6.5604248046875
2,WCUR,679,2020-08-02T03:00:00.000000,2.8735823434544727e-05,0.0035183036234229803,5.531398773193359,1.5436148643493652,2.7408957481384277
3,TEMP,679,2020-08-02T03:00:00.000000,0.01840696856379509,0.11822645366191864,0.4450843334197998,0.5813593864440918,5.429593563079834
4,PRES_REL,679,2020-08-02T03:00:00.000000,0.09327910840511322,0.24647077918052673,1.4037660360336304,0.9561380743980408,2.389498233795166
5,ABSIC1,679,2020-08-02T03:00:00.000000,183.1633758544922,11.638063430786133,2.169163703918457,1.2665069103240967,4.081672668457031
0,UCUR,1191,2020-08-23T11:00:00.000000,0.0022684792056679726,0.03814090043306351,1.5360486507415771,0.9924896955490112,2.7170283794403076
1,VCUR,1191,2020-08-23T11:00:00.000000,0.00512458523735404,0.06119374930858612,0.3210707902908325,0.48437100648880005,2.3657102584838867
2,WCUR,1191,2020-08-23T11:00:00.000000,3.845239461952588e-06,0.0015466188779100776,1.3061037063598633,0.9013851881027222,1.323409080505371
3,TEMP,1191,2020-08-23T11:00:00.000000,0.030191859230399132,0.16364090144634247,9.087846755981445,2.839078903198242,22.464412689208984
4,PRES_REL,1191,2020-08-23T11:00:00.000000,0.08538900315761566,0.2524973750114441,0.8673643469810486,0.8047419786453247,2.0264735221862793
5,ABSIC1,1191,2020-08-23T11:00:00.000000,225.24691772460938,12.287698745727539,3.2268519401550293,1.4707221984863281,4.133716106414795
0,UCUR,1703,2020-09-13T19:00:00.000000,0.0015581510961055756,0.03532407432794571,0.5707066059112549,0.6760401129722595,2.626695394515991
1,VCUR,1703,2020-09-13T19:00:00.000000,0.04988988861441612,0.2014278769493103,2.1690621376037598,1.3281567096710205,9.361871719360352
2,WCUR,1703,2020-09-13T19:00:00.000000,5.03661931361421e-06,0.0019030258990824223,1.7150466442108154,1.1104860305786133,1.5255874395370483
3,TEMP,1703,2020-09-13T19:00:00.000000,0.0008905224385671318,0.02682749554514885,0.6491115093231201,0.7242981195449829,3.201308250427246
4,PRES_REL,1703,2020-09-13T19:00:00.000000,0.06877388060092926,0.21655909717082977,1.7960784435272217,1.1066935062408447,2.922100782394409
5,ABSIC1,1703,2020-09-13T19:00:00.000000,29.153783798217773,4.707018852233887,0.4096043109893799,0.5579313635826111,1.9810285568237305
0,UCUR,2215,2020-10-05T03:00:00.000000,0.0015926209744066,0.034831225872039795,0.7967766523361206,0.7790778875350952,2.391651153564453
1,VCUR,2215,2020-10-05T03:00:00.000000,0.00786435417830944,0.08107124269008636,0.8027609586715698,0.8190838694572449,3.2654008865356445
2,WCUR,2215,2020-10-05T03:00:00.000000,3.829235993180191e-06,0.0015580522594973445,0.33403071761131287,0.4601708650588989,0.8718687891960144
3,TEMP,2215,2020-10-05T03:00:00.000000,0.00025389489019289613,0.01420493982732296,0.19947050511837006,0.3981545865535736,2.2671871185302734
4,PRES_REL,2215,2020-10-05T03:00:00.000000,0.034332238137722015,0.16358916461467743,0.8620709776878357,0.8197378516197205,1.9048233032226562
5,ABSIC1,2215,2020-10-05T03:00:00.000000,143.8025360107422,11.505058288574219,1.280886173248291,1.0858274698257446,2.8607044219970703
0,UCUR,2727,2020-10-26T11:00:00.000000,0.0008666481589898467,0.02405952475965023,0.4105772376060486,0.5236764550209045,1.3718335628509521
1,VCUR,2727,2020-10-26T11:00:00.000000,0.03545784577727318,0.17945536971092224,2.5081188678741455,1.5092957019805908,7.824577331542969
2,WCUR,2727,2020-10-26T11:00:00.000000,5.6950602811411954e-06,0.0019768106285482645,2.188662528991699,1.2254774570465088,1.7817434072494507
3,TEMP,2727,2020-10-26T11:00:00.000000,0.0058821216225624084,0.0680389404296875,2.503288507461548,1.4036085605621338,6.602262020111084
4,PRES_REL,2727,2020-10-26T11:00:00.000000,0.03423521667718887,0.15312513709068298,0.49451982975006104,0.5819716453552246,1.5533441305160522
5,ABSIC1,2727,2020-10-26T11:00:00.000000,53.87200164794922,5.889888763427734,0.47178396582603455,0.5511847138404846,1.8961185216903687
0,UCUR,3239,2020-11-16T19:00:00.000000,0.003683760529384017,0.05153581500053406,1.9445724487304688,1.1840648651123047,2.3599979877471924
1,VCUR,3239,2020-11-16T19:00:00.000000,0.013781024143099785,0.08879946917295456,1.1983064413070679,0.8280443549156189,3.540107488632202
2,WCUR,3239,2020-11-16T19:00:00.000000,4.127091415284667e-06,0.0016177663346752524,0.29589828848838806,0.43317657709121704,0.7048753499984741
3,TEMP,3239,2020-11-16T19:00:00.000000,0.00033256661845371127,0.015148083679378033,0.06505650281906128,0.21186721324920654,1.8944578170776367
4,PRES_REL,3239,2020-11-16T19:00:00.000000,0.1491854041814804,0.3237323760986328,1.7540682554244995,1.1100594997406006,2.668933868408203
5,ABSIC1,3239,2020-11-16T19:00:00.000000,64.79115295410156,6.671527862548828,0.4639343023300171,0.5645413398742676,1.4919254779815674
0,UCUR,3751,2020-12-08T03:00:00.000000,0.0008302861242555082,0.022611424326896667,0.14674846827983856,0.30060821771621704,0.9532176852226257
1,VCUR,3751,2020-12-08T03:00:00.000000,0.03815175220370293,0.18339493870735168,0.989672064781189,0.934062123298645,5.546552658081055
2,WCUR,3751,2020-12-08T03:00:00.000000,4.666116183216218e-06,0.0017156086396425962,0.7182797789573669,0.6731119155883789,0.9452545046806335
3,TEMP,3751,2020-12-08T03:00:00.000000,0.1372474879026413,0.35315197706222534,1.2217442989349365,1.0536577701568604,12.561549186706543
4,PRES_REL,3751,2020-12-08T03:00:00.000000,0.0664711520075798,0.2117837369441986,0.9328681826591492,0.793388843536377,2.314314842224121
5,ABSIC1,3751,2020-12-08T03:00:00.000000,342.7889404296875,14.546562194824219,2.2513208389282227,1.1788692474365234,3.4273078441619873
0,UCUR,4263,2020-12-29T11:00:00.000000,0.0022716668900102377,0.04066837951540947,0.4845336079597473,0.593945324420929,1.3470311164855957
1,VCUR,4263,2020-12-29T11:00:00.000000,0.018527762964367867,0.12514762580394745,1.0548498630523682,0.9442922472953796,5.199888229370117
2,WCUR,4263,2020-12-29T11:00:00.000000,5.813533789478242e-06,0.00182638899423182,1.0114011764526367,0.7617894411087036,0.9910330772399902
3,TEMP,4263,2020-12-29T11:00:00.000000,0.013737398199737072,0.10417159646749496,0.2588687241077423,0.452206552028656,3.9545321464538574
4,PRES_REL,4263,2020-12-29T11:00:00.000000,0.07978568971157074,0.22395388782024384,1.9133094549179077,1.096702218055725,2.997349500656128
5,ABSIC1,4263,2020-12-29T11:00:00.000000,72.1082763671875,7.211045742034912,0.5554120540618896,0.6328682899475098,1.7216200828552246
