user_id,user_name,windows,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
0,Amazon_OrderCount,4,9854.25,16491.861907847157,60.25,78.89352001273615,0.12432851050652971,0.18978181690535856,0.24368318100459874,0.254847044647133,0.3051859225379303,0.324448586226973
1,Amazon_NumberOfPieces,4,286407.5,468752.00021359907,356.0,399.5891640172441,0.16292090597562492,0.2238254263964088,0.31465644761919975,0.25280866539652763,0.3578703198581934,0.2937443570263109
2,Amazon_TotalRevenue,4,67820180.0,108545797.26352589,5678.010498046875,5964.928875297492,0.18310907669365406,0.2354178429043374,0.3448143843561411,0.25340108605927497,0.383243789896369,0.29250100627991327
3,Chick-Fil-A_OrderCount,4,828.5,692.1360054208999,24.0,15.890248582070704,0.8678934872150421,0.5423545479620289,0.8023589700460434,0.47340633422599365,0.6797511577606201,0.3989957123739565
4,Chick-Fil-A_NumberOfPieces,4,22593.5,18122.05601608162,125.5,82.72393849424725,0.8606525957584381,0.5321086186136301,0.7996485233306885,0.4703348226400965,0.6786620765924454,0.3985364110915572
5,Chick-Fil-A_TotalRevenue,4,1868365.296875,1725725.9475734835,1107.4150085449219,801.2473751029786,0.45227425545454025,0.3578374049963727,0.5613361224532127,0.37037279551709384,0.5004244595766068,0.31964515385989173
6,Chipotle_OrderCount,4,956.25,1272.563628075233,23.75,19.803724397193573,0.07677867077291012,0.06137569247923242,0.25538744404911995,0.10749848960166163,0.23858000338077545,0.13674844677201
7,Chipotle_NumberOfPieces,4,32717.25,31110.84847263893,145.75,107.11763393578109,0.1513656135648489,0.14459413818330602,0.33981211110949516,0.18945537694605177,0.295842919498682,0.165871201237667
8,Chipotle_TotalRevenue,4,5292733.46875,6770501.763696588,1837.8626098632812,1383.8332419608823,0.28741802647709846,0.3604577387293919,0.44468526914715767,0.29945457056681124,0.3916375897824764,0.2401668752920655
9,Costco_OrderCount,4,2089.25,3370.596191699623,28.75,35.53431440171598,0.0846508052200079,0.09949961258936459,0.22456321865320206,0.18499233401094728,0.22755269333720207,0.2169712977729291
10,Costco_NumberOfPieces,4,55586.25,86032.66288560118,159.25,173.85536373664172,0.10457237562877708,0.09144658351313595,0.27275671041570604,0.1737128536818142,0.26895593106746674,0.19847036934853815
11,Costco_TotalRevenue,4,28243884.5078125,43222807.553459756,3745.1378173828125,3770.6533490390534,0.08801007451256737,0.07694236601858524,0.2592155411839485,0.14428228534801188,0.2640595864504576,0.17440412275044717
12,Home_Depot_OrderCount,4,6058.499931335449,9669.338502239165,52.999996185302734,57.004388740634724,0.15721267514163628,0.22367820071639583,0.2927943989634514,0.2673651293026386,0.2718638190999627,0.24996020610960257
13,Home_Depot_NumberOfPieces,4,160743.00256347656,236544.5779064074,300.50001525878906,265.41051867524504,0.17871205881237984,0.2155331820388497,0.34137708507478237,0.24934663547611946,0.3213983792811632,0.23648792892398654
