user_id,user_name,windows,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
0,0,34,0.001267605688286387,0.0013738077521312146,0.010572986348586924,0.007186047203232439,0.27018483869238374,0.27560925266774944,0.16565017588436604,0.09469748996966862,0.5882324208231533,0.3543799088861869
1,1,34,0.0005531169291343223,0.0007947431990413863,0.007712315233862575,0.005509252313160737,0.23236256052383825,0.3327047838580382,0.16319377873750293,0.10826479530710008,0.5748485090101466,0.37659159282479643
2,2,34,0.002009602222482071,0.00113602625915788,0.026876997421769536,0.008064526988577838,0.3043704032897949,0.18010018926575677,0.33015212898745255,0.10041297737722935,0.9514179142082438,0.2802192322204065
3,3,34,0.00043326306296662283,0.00052729015508357,0.007822722819743349,0.004170888803192307,0.3336698238957016,0.40618700881393255,0.21655572665964856,0.10912439602369052,0.6425542226609062,0.3354611292439031
4,4,34,0.00016987114645417023,0.00019851604347944325,0.00480817341560717,0.0030120506436272284,0.12668975735740626,0.1404336394784939,0.13341629757162402,0.08357995043827054,0.49931349780629664,0.31623737423066645
5,5,34,0.0007361149820259443,0.000928093569355406,0.0099939702777192,0.006678645995197525,0.17327019369729577,0.2202178636162852,0.15216323070447235,0.10200205435986305,0.5889925073613139,0.4055854495800659
6,6,34,0.00042781884595195367,0.0005670915838395964,0.008908587055938208,0.004760993110889644,0.11672010535702985,0.1565845577792024,0.14702884294092655,0.07970402451769462,0.5157275182359359,0.2756333227165521
7,7,34,0.0004917938579851847,0.0007998170734037166,0.00882441269726876,0.0062665928605107855,0.19383886970086572,0.36734853522666056,0.16688241875346968,0.13252637629728797,0.5794047985006782,0.516820883599874
8,8,34,0.0002276173346913043,0.0003769664791823287,0.007656310527475879,0.004824588151166226,0.12875068160321781,0.22626598397345965,0.18017194956979332,0.11667637877482383,0.6458171360632953,0.4628070234413308
9,9,34,0.004023369087757173,0.009734273520811946,0.02220162546590847,0.020838644514477252,0.33385637714801464,0.390591304272614,0.22545011012869723,0.14360222537544007,0.6298486997976023,0.5980464853281403
10,10,34,0.000422718277631622,0.00040022097995747906,0.009747883229626013,0.004895229499577756,0.379787263515241,0.3717020960294779,0.28933604149257436,0.1566403075251752,0.7558193136663998,0.4258258081881918
