user_id,user_name,windows,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
0,port1016_raw__import,5,109666568.05,141542758.34032738,7080.992651367187,6511.470867729185,3.2293783515691756,3.6773865926428297,1.2835700273513795,1.063541752785766,1.2012666940689087,1.0238401678136693
1,port1016_raw__export,5,17259841.2296875,21507577.162634663,2608.6491790771483,2064.8027082480035,0.618202019110322,0.7062040660540222,0.5172221705317497,0.362334939300682,0.5901754528284073,0.3445569469872053
2,port1035_raw__import,5,70008902.0,53115516.293064825,7283.734912109375,3471.35473998614,0.9507943838834763,0.5876450910875433,0.8490315914154053,0.3674937887025504,0.749760776758194,0.38531058235392596
3,port1035_raw__export,5,29655988.4,17478263.332907118,4419.8529296875,1239.801537784074,0.9845974147319794,0.9270710270573435,0.7351648032665252,0.30871765938135864,0.5789526283740998,0.19928957776049272
4,port1057_raw__import,5,457092259.2,212236414.1438925,18435.4681640625,6078.686178266619,2.9557287812232973,1.378672460155308,1.495276892185211,0.4839480988790726,1.197641921043396,0.5756174989183706
5,port1057_raw__export,5,61578142.8,84839622.5487901,5341.1268310546875,3635.5132078744855,2.9185862839221954,4.627103886290857,1.1115973830223083,0.8183440462308678,1.1576182007789613,0.8943002517078593
6,port1065_raw__import,5,1937618819.2,1221639156.1217365,37274.50390625,17745.438553607266,1.5214103221893311,0.901146699901307,1.031781220436096,0.2858377148076026,0.8730607211589814,0.23075780300318385
7,port1065_raw__export,5,395030672.0,215336134.9481422,16762.75390625,6854.046114525835,0.36759679615497587,0.25404683438684195,0.5069746047258377,0.24729491731384476,0.4010087072849274,0.15598189790642872
8,port1070_raw__import,5,20903062528.0,20092911790.876854,100933.353125,51971.54055741518,2.4751018047332765,2.2206041794573035,1.0829074919223785,0.5307431711030979,0.8537079215049743,0.43569287352716785
9,port1070_raw__export,5,901034105.6,585354579.776114,25382.673828125,10532.398153802002,1.1662669628858566,1.1354837930691155,0.880709433555603,0.5140080299397999,0.9747054100036621,0.7240373484370654
10,port1071_raw__import,5,1476839129.6,846574813.2863498,31160.305859375,9649.64291932867,1.104589682817459,0.8889134444353111,0.8265942871570587,0.3272626356605036,0.6737676441669465,0.3170173626503035
11,port1071_raw__export,5,1527798092.8,1147894159.719983,31680.66689453125,13746.04461943163,5.5315106272697445,4.842665906969648,1.8696195781230927,0.8030046738356638,1.8408195495605468,0.765699899464578
12,port1073_raw__import,5,1087855878.9,1121667320.0497243,24304.139453125,17922.353315850254,0.9080100388964638,0.8911633494077713,0.6939910270273686,0.49475301680766026,0.6004324100911618,0.43441574110698145
