user_id,user_name,query_index,query_datetime,mse,mae,nmse,nmae,mase
0,Atlanta_OrderCount,13,2020-01-15T00:00:00.000000,212.0,14.0,0.03767300024628639,0.1866273134946823,0.17089201509952545
1,Atlanta_NumberOfPieces,13,2020-01-15T00:00:00.000000,2853.0,42.0,0.020908409729599953,0.11369959264993668,0.10403963178396225
2,Atlanta_TotalRevenue,13,2020-01-15T00:00:00.000000,31355156.0,5580.134765625,0.41871511936187744,0.6448363661766052,0.5878646373748779
3,Birmingham_OrderCount,13,2020-01-15T00:00:00.000000,520.0,18.0,0.2598402500152588,0.40236857533454895,0.30628272891044617
4,Birmingham_NumberOfPieces,13,2020-01-15T00:00:00.000000,10964.5,76.5,0.19980716705322266,0.3265671730041504,0.2531822621822357
5,Birmingham_TotalRevenue,13,2020-01-15T00:00:00.000000,1624511.5,1239.73974609375,0.0475456677377224,0.21209216117858887,0.1550859808921814
6,Chicago_OrderCount,13,2020-01-15T00:00:00.000000,6497.0,64.0,0.3663915693759918,0.4806138277053833,0.49347567558288574
7,Chicago_NumberOfPieces,13,2020-01-15T00:00:00.000000,187808.0,428.0,0.4465731978416443,0.6599834561347961,0.6569067239761353
8,Chicago_TotalRevenue,13,2020-01-15T00:00:00.000000,483604480.0,21939.140625,1.6233537197113037,1.271103858947754,1.40413498878479
9,Dallas_OrderCount,13,2020-01-15T00:00:00.000000,4045.0,51.0,0.5760914087295532,0.6086345911026001,0.6927899718284607
10,Dallas_NumberOfPieces,13,2020-01-15T00:00:00.000000,109760.5,264.5,0.6117116808891296,0.6244188547134399,0.6794111728668213
11,Dallas_TotalRevenue,13,2020-01-15T00:00:00.000000,45253656.0,5186.4150390625,0.8505657911300659,0.7110405564308167,0.7488638162612915
12,Detroit_OrderCount,13,2020-01-15T00:00:00.000000,485.00006103515625,22.000001907348633,0.09684733301401138,0.310882031917572,0.3337222933769226
13,Detroit_NumberOfPieces,13,2020-01-15T00:00:00.000000,13914.0,117.0,0.10492898523807526,0.32129770517349243,0.3315892815589905
14,Detroit_TotalRevenue,13,2020-01-15T00:00:00.000000,492176.28125,594.3251953125,0.010734524577856064,0.08777184039354324,0.11239099502563477
15,Houston_OrderCount,13,2020-01-15T00:00:00.000000,1142.5,29.5,0.13751401007175446,0.32364386320114136,0.339982271194458
16,Houston_NumberOfPieces,13,2020-01-15T00:00:00.000000,21689.0,115.0,0.09653353691101074,0.24261474609375,0.2514718174934387
17,Houston_TotalRevenue,13,2020-01-15T00:00:00.000000,5019240.5,1864.1549072265625,0.03707174211740494,0.1602081060409546,0.16674645245075226
