horizon,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
1,1.9359984710787895e-05,4.995326955111704e-05,0.0025433419349913796,0.0035904590791738826,0.31216754321673457,0.5524154051103007,0.3951916645358627,0.39495707341333264,1.0216126621390382,0.9963991592724974
2,3.489110294850352e-05,6.655717444493145e-05,0.003686601691879332,0.004615199976937886,0.9385667569686726,3.2422110698734268,0.6152447142172605,0.7483586593063452,1.5889248445474853,1.5778540397332017
3,6.504543316902198e-05,0.00013686623992976348,0.005068993176488827,0.006273016938025296,1.3525381326223094,4.575918658875486,0.8000348538858816,0.8440867125772502,2.042462736275047,1.8786467255827863
4,0.00012363453148981306,0.0005491808455624203,0.006255873630288988,0.009192310799955217,349.0233567957364,3785.502647434392,2.6538267249319083,18.492716399778445,7.416577915009111,53.94695325622174
5,8.478944245672906e-05,0.00018517490419746427,0.0058050036818409955,0.007147823024856424,2.3894533499140076,8.295367956007203,1.0037403480343832,1.1755673699332634,2.5960393163142728,2.6421025508983216
6,7.671366029440609e-05,0.00013861060409743207,0.005821968335658312,0.006543572750494671,2.787357924923344,8.718782534887305,1.0737436697119846,1.2784492250738244,2.633745385380462,2.7160922359033224
7,7.447269426475075e-05,0.00013941512197459,0.005562443142601599,0.006597872437650688,3.150189368667149,11.441751870476848,1.0687139688059688,1.4170532207456816,2.6371665885982414,2.9868238265492297
