user_id,user_name,windows,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
0,port1016_raw__import,5,80102213.8125,121350927.33986324,6029.467993164062,6614.20661441091,2.9526243612170218,3.854195440810115,1.3584332525730134,1.0522753534585765,1.1441723465919496,0.9239882326215361
1,port1016_raw__export,5,3216905.8689575195,3810430.9061052375,1336.984765625,1195.5658115644974,0.19434060958883492,0.3069515306518887,0.3087240332737565,0.314690456346729,0.250372564420104,0.2483884736807957
2,port1035_raw__import,5,208598846.95,332838201.1376349,9843.51279296875,10569.01612271005,1.4534112509340047,1.6170027894646932,0.9313579946756363,0.7654956225860289,1.1025356575846672,1.2678955080962377
3,port1035_raw__export,5,144192852.6,188211340.4237943,9850.8470703125,6866.852472569705,12.697074210643768,21.42642031665151,2.5632808446884154,2.475210201075876,1.9876061081886292,1.784809659564928
4,port1057_raw__import,5,535428324.8,602128654.0775177,20424.0005859375,10876.052315396919,4.044568514823913,4.666258354153329,1.7682093739509583,0.9581252865663256,1.3459912419319153,0.7662375347699081
5,port1057_raw__export,5,15413846.746875,14728316.990164524,3267.285693359375,2176.8533867157357,1.8679642931558191,1.6569246535801123,1.088365237414837,0.8266954426626565,0.8955167457461357,0.6864057620748694
6,port1065_raw__import,5,1047719510.4,1098043396.5715516,28700.35859375,14966.927653111186,1.909181709587574,2.4610321952505507,1.0986222445964813,0.8379802510935823,0.8587535619735718,0.584945973710186
7,port1065_raw__export,5,769894937.6,507221666.6733382,25681.14921875,10505.879683421299,0.9910432815551757,0.6005392549308115,0.9455051362514496,0.3115498354771849,0.6886309623718262,0.21777888806330264
8,port1070_raw__import,5,10182121164.8,6916042271.289138,94069.9328125,36509.846473871854,5.047056180238724,8.028027445449998,1.6725588321685791,1.4998677257195474,1.4460284113883972,1.6395211524173412
9,port1070_raw__export,5,980347068.8,1121570248.486797,26526.05703125,16634.7631762922,1.7148202337324618,1.5604745962225364,1.126094588637352,0.6683795463214938,1.0470885157585144,0.6941459786296774
10,port1071_raw__import,5,1781519144.0,2179842041.063489,34834.442578125,23834.443880894338,0.9106250904500485,1.07058674281711,0.8048589557409287,0.5126667147712609,0.6414367318153381,0.4497183357722478
11,port1071_raw__export,5,343270833.3958496,670287897.6796657,10108.1232421875,15527.288037095836,1.206481294867808,2.356850634877498,0.5968156000133604,0.9221130463076757,0.5916530915070325,0.992423915956751
12,port1073_raw__import,5,1391744275.875,1724320731.3095036,29535.94609375,22789.739046153263,0.8441619480232475,0.7825070525063044,0.7587808342650533,0.5180864784710313,0.5931630691513419,0.4069169799710338
13,port1073_raw__export,5,142109329.0125,277187853.27058464,6666.4607421875,9882.693462223953,1.8351402752101422,3.5508660976727606,0.7741827696561814,1.1116569931815223,1.0393046952784062,1.7237332407241535
14,port1086_raw__import,5,24253874.6,27914115.64596316,4295.227490234375,2409.3350720268822,0.21264940202236177,0.11373559162624812,0.4381774961948395,0.14370069879664457,0.3241736650466919,0.1234233293240281
15,port1086_raw__export,5,87172298.21679688,139842206.27497226,6100.147729492188,7068.274009871438,1.606411071913317,2.2894935267141405,0.8433599077165127,0.9461264006269865,0.654844343662262,0.8077215380046656
16,port1112_raw__import,5,73678.58462753295,142146.30518795896,148.3260726928711,227.32787710077318,1.8345696213655174,3.4385375863321213,0.760061226785183,1.1211050370056377,0.9410331092774868,1.569770967384476
17,port1112_raw__export,5,16631339.50333252,13313510.589186898,3459.966796875,2158.6962133031116,3.3645132631994783,4.485551072533901,1.4212540471926332,1.159547426714047,1.2202264349907637,1.0653588049288396
18,port1128_raw__import,5,176509406.7,186964862.2484118,11377.772314453125,6859.715856098317,0.4269615452736616,0.39469894221652113,0.5722057402133942,0.3155030050003451,0.4920065999031067,0.29226434655205136
19,port1128_raw__export,5,3599740.93828125,3472489.453607167,1557.1373046875,1084.0038198485431,0.5515812819823622,0.6519354948065065,0.5404038965702057,0.5094555142010136,0.5979507774114609,0.6193475503962603
20,port1135_raw__import,5,5857570.765892029,6281476.095838011,1912.0376220703124,1483.8068660405024,1.892690634758037,2.100032662393628,1.0755895974114538,0.8577864923225492,0.906360199674964,0.6430924298330974
21,port1135_raw__export,5,7975838.881949616,10035939.61654153,1903.5608932495118,2086.2154589013076,3.460916952967447e+20,6.921833905934894e+20,8319755879.055922,16639511756.47204,8319755879.037768,16639511756.481115
22,port1160_raw__import,5,3433245473.2,5301427180.781409,42859.241796875,39954.108983762235,3.1139551982283593,2.358676721970879,1.5611485153436662,0.8226606296983893,1.4165578544139863,0.6867765580816403
23,port1160_raw__export,5,6194643609.6,5523250586.187007,71167.94375,33612.013321584964,1.4585577845573425,0.8243776243305194,1.140906822681427,0.3960926500617442,0.9633455455303193,0.3735377491761476
24,port1189_raw__import,5,71315402.9078125,80600403.98668821,6307.38203125,5615.366112505127,0.15768802732927725,0.16410382395196657,0.30491189379245043,0.2543949023817161,0.24694917164742947,0.19867632055128087
25,port1189_raw__export,5,899139292.8,863729006.8884698,25998.91484375,14939.736779664792,3.2977800726890565,3.1866135949777483,1.5498066186904906,0.9465091051592807,1.2965356588363648,0.9006607238993983
26,port1197_raw__import,5,638634563.2,625939416.593944,21835.3748046875,12722.065804300142,3.0103350460529326,2.6210458571031046,1.5548856377601623,0.7698478492171945,1.3228351473808289,0.8513869649117535
27,port1197_raw__export,5,917010490.4,846656317.6470333,25818.70546875,15824.188587437236,5.390050106495619,5.02905889919565,1.8790539979934693,1.3635271455081561,1.9191944181919098,1.6633652512259016
28,port1201_raw__import,5,11619073305.6,14980037199.78536,84441.425,66997.90422279722,1.034733670949936,1.6728688397171736,0.7382695227861404,0.6997798174118371,0.623137378692627,0.5680710631253914
29,port1201_raw__export,5,10055729892.8,7703977937.818082,85470.08125,52446.11625071429,5.644995674490929,7.1644149101884915,1.7595649272203446,1.5965359524668374,1.291263034939766,1.1386469978509077
30,port1248_raw__import,5,9301100.375,14765781.934400795,2327.2312255859374,1971.0644846520956,0.24329206719994545,0.33849519783741405,0.4031921625137329,0.2841269898965192,0.42295906245708464,0.3515492820410965
31,port1248_raw__export,5,223445913.77692872,404030913.9923457,8906.189770507812,12005.236377267525,0.9717472920427099,1.4715506607241233,0.6825519666075707,0.7112454719229861,0.6770750145427883,0.6461031387229422
32,port1266_raw__import,5,14077228921.6,17478039573.352444,96539.984375,68972.89497220397,1.4435170255601406,1.479028166598083,0.9917140990495682,0.6782478859830953,0.676946097612381,0.40920267446678393
33,port1266_raw__export,5,4001032211.2,4218467096.4011736,50237.775,38434.336632757586,4.039465668797493,3.812036421617606,1.644312423467636,1.155725873234576,1.1929369628429414,0.7869826022990541
34,port1269_raw__import,5,4403772886.4,8007883647.520843,42254.57265625,51169.561265875855,1.2965389132499694,1.8211596225236582,0.8931246697902679,0.7063053294192869,0.931112277507782,0.868719954807558
35,port1269_raw__export,5,219582868.8,121181954.45833395,14163.58125,4356.126024623664,0.4121141254901886,0.21766974394849176,0.6167690217494964,0.17807330461467002,0.4355830788612366,0.1792410702608425
36,port1284_raw__import,5,366225329.2,257264257.43610096,17110.2810546875,8571.091361205943,2.0916101410984993,1.6904011403328316,1.2856179118156432,0.662417362659067,1.2104357689619065,0.7797137149112362
37,port1284_raw__export,5,250746186.8,151751080.6471504,14644.9146484375,6022.678946975631,1.9755326747894286,0.9745284768222326,1.3378387331962585,0.4309526419308849,1.2846783995628357,0.40830941473493915
38,port1304_raw__import,5,372636798.68125,677076923.2123717,11956.396435546874,15155.242565421002,1.2878567120060325,2.389956946220797,0.6943531841039657,0.8976248517193144,0.6502873849123716,0.8421915452663279
39,port1304_raw__export,5,4539265.6578125,5218068.311398857,1701.8061767578124,1281.8429370611398,0.09770687903510407,0.1253490992650947,0.25080551467835904,0.18655688305071982,0.1931703805923462,0.12174184157347952
40,port1309_raw__import,5,156211194.5485962,310791071.84078014,6105.171691894531,10905.873109275273,1.7496780494177073,2.2561186065603205,0.8653180028311909,1.0004513106015775,1.4715879756957293,2.1265880753147677
41,port1309_raw__export,5,1541235712.6636763,2361636830.125324,25334.31552505493,29990.135081947432,4.444175811703462,4.3974377691215345,1.5902114714495839,1.38398092989265,1.7284041724167765,1.5822904740722215
42,port1318_raw__import,5,3123687398.4,1625906941.7211199,53775.7375,15226.864488937363,1.5467775106430053,0.498962957083964,1.222739052772522,0.2273471419705058,1.1878007531166077,0.4170374797124247
43,port1318_raw__export,5,29581727.373046875,52083974.861663446,3528.046630859375,4139.3979117424915,0.7962885485263541,1.0572635965873098,0.6590197756886482,0.6016489539672596,0.6750608332455158,0.7005568064022337
44,port132_raw__import,5,22362179.859375,22016956.098037258,3998.87275390625,2524.1229087386355,0.6069631386548281,0.5167282375936354,0.6423144921660423,0.44090275261573914,0.41207119822502136,0.2744568149180023
45,port132_raw__export,5,50448477.28195801,96087411.55701053,3912.601123046875,5927.902540349872,12.027956284999163,18.028435805695082,2.1703508717007933,2.7050939061946817,2.6015960074495523,3.210669832720677
46,port1330_raw__import,5,1900771.7984375,2742539.46106884,1054.314276123047,888.3654706827984,13.238180017471313,20.26449039617455,2.609683835506439,2.53529688824423,1.9552594721317291,1.6758263804199345
47,port1330_raw__export,5,613492.6811523438,845258.5609153458,578.0990539550781,528.4829038641687,0.6451058917678892,0.7613383063396933,0.6106136992573739,0.5217823354679254,0.6544215902686119,0.5633993646710165
48,port1358_raw__import,5,1173077819.2,1381436260.017178,29045.84296875,18149.843898024163,2.0165482997894286,1.5157785741194125,1.3087312579154968,0.5511540911038793,1.0377267003059387,0.7285510410997474
49,port1358_raw__export,5,20117270.025,24287495.57282718,3533.684033203125,2762.3082710079907,0.6079727318137884,0.4947829499119791,0.672374302148819,0.39482339702464014,0.4493332117795944,0.25105278121898217
50,port139_raw__import,5,16129693.7,17562402.247322213,3350.7569580078125,2214.0734502900673,5.3997371450066565,7.644292691315195,1.6806238889694214,1.6047556415315969,2.4589768946170807,3.512257872161197
