setting,model,metric,mean_value,mean_reference_value,mean_improvement_pct,configurations,reference_models
168:24,chronos2,nmse,4698508492959.624,4698508492960.057,34.35041553372468,200,repeat
168:24,repeat,nmse,4698508492960.057,4698508492960.057,0.0,200,repeat
336:48,chronos2,nmse,49.006056231990925,49.63818462806555,45.791831786026904,200,repeat
336:48,repeat,nmse,49.63818462806555,49.63818462806555,0.0,200,repeat
504:168,chronos2,nmse,559650017325571.94,559650017325572.94,42.55686542817179,200,repeat
504:168,repeat,nmse,559650017325572.94,559650017325572.94,0.0,200,repeat
7:1,chronos2,nmse,6.722837903977172e+16,6.722837903977172e+16,9.904031869889309,52,repeat
7:1,repeat,nmse,6.722837903977172e+16,6.722837903977172e+16,0.0,52,repeat
14:2,chronos2,nmse,2.9261932163718325,3.203935399260672,22.388712206096905,52,repeat
14:2,repeat,nmse,3.203935399260672,3.203935399260672,0.0,52,repeat
30:7,chronos2,nmse,5.074945462149002,5.885974021125602,38.7583451660866,52,repeat
30:7,repeat,nmse,5.885974021125602,5.885974021125602,0.0,52,repeat
