dataset,lags,horizon,setting,metric,best_baseline,best_baseline_value,chronos_value,chronos_win_pct,tie_pct,windows
electricity,168,24,168:24,mse,repeat,2689885.6665454675,2153536.853865921,79.04984423676012,0.017972681524083396,16692
electricity,168,24,168:24,mae,repeat,205.07557355329325,165.48688801602273,75.60508027797748,0.017972681524083396,16692
electricity,168,24,168:24,nmse,repeat,0.82738650384802,0.6380183362989442,79.04984423676012,0.017972681524083396,16692
electricity,168,24,168:24,nmae,repeat,0.3540501318566751,0.2587603537800071,75.60508027797748,0.017972681524083396,16692
electricity,168,24,168:24,mase,repeat,1.133465000913672,0.8122335567932822,75.60508027797748,0.017972681524083396,16692
electricity,168,24,168:24,mse,repeat,2701701.158070699,2162996.398708054,79.39707563631987,0.0,16619
electricity,168,24,168:24,mae,repeat,205.97638087439503,166.2137996870471,75.93718033576027,0.0,16619
electricity,168,24,168:24,nmse,repeat,0.8310208509676364,0.6407547876213284,79.39707563631987,0.0,16619
electricity,168,24,168:24,nmae,repeat,0.35560531927021005,0.25949640778951166,75.93718033576027,0.0,16619
electricity,168,24,168:24,mase,repeat,1.1384438170317717,0.8154007763298049,75.93718033576027,0.0,16619
electricity,168,24,168:24,mse,repeat,2689885.6675212146,2153536.978450236,79.04984423676012,0.017972681524083396,16692
electricity,168,24,168:24,mae,repeat,205.07557356478782,165.4868917860116,75.60508027797748,0.017972681524083396,16692
electricity,168,24,168:24,nmse,repeat,0.8273865038753768,0.6379525109131947,79.04984423676012,0.017972681524083396,16692
electricity,168,24,168:24,nmae,repeat,0.35405013188803164,0.25836153869817513,75.60508027797748,0.017972681524083396,16692
electricity,168,24,168:24,mase,repeat,1.133465001156713,0.811834742105576,75.60508027797748,0.017972681524083396,16692
electricity,168,24,168:24,mse,repeat,2701701.159050732,2162996.521752816,79.39707563631987,0.0,16619
electricity,168,24,168:24,mae,repeat,205.9763808859401,166.2138031870213,75.93718033576027,0.0,16619
electricity,168,24,168:24,nmse,repeat,0.8310208509951135,0.6407547573895611,79.39707563631987,0.0,16619
electricity,168,24,168:24,nmae,repeat,0.3556053193017043,0.2594964079700784,75.93718033576027,0.0,16619
electricity,168,24,168:24,mase,repeat,1.1384438172758802,0.8154007772074975,75.93718033576027,0.0,16619
electricity,336,48,336:48,mse,repeat,3213269.430746827,1783873.5730061508,90.40987111355446,0.01832508704416346,16371
electricity,336,48,336:48,mae,repeat,224.82641163565185,150.68653271481202,88.47352024922118,0.01832508704416346,16371
electricity,336,48,336:48,nmse,repeat,0.4853670428979831,0.2027176643254056,90.40987111355446,0.01832508704416346,16371
electricity,336,48,336:48,nmae,repeat,0.3923863308103387,0.23669381744982532,88.47352024922118,0.01832508704416346,16371
electricity,336,48,336:48,mase,repeat,1.2942035974517476,0.7541977951034496,88.47352024922118,0.01832508704416346,16371
electricity,336,48,336:48,mse,repeat,3226869.945451865,1791424.0132308935,90.79254079254079,0.0,16302
