dataset,lags,horizon,covariate_mode,instance_normalize,remove_constant,stride,seed,setting,range,model,metric,value,reference_model,reference_value,improvement_pct
electricity,168,24,none,False,False,512,1,168:24,short,chronos2,nmse,0.6380183362989442,repeat,0.82738650384802,22.88750984798034
electricity,168,24,none,False,False,512,1,168:24,short,repeat,nmse,0.82738650384802,repeat,0.82738650384802,0.0
electricity,168,24,none,False,True,512,1,168:24,short,chronos2,nmse,0.6407547876213284,repeat,0.8310208509676364,22.89546202417944
electricity,168,24,none,False,True,512,1,168:24,short,repeat,nmse,0.8310208509676364,repeat,0.8310208509676364,0.0
electricity,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,0.6379525109131947,repeat,0.8273865038753768,22.895465671109758
electricity,168,24,none,True,False,512,1,168:24,short,repeat,nmse,0.8273865038753768,repeat,0.8273865038753768,0.0
electricity,168,24,none,True,True,512,1,168:24,short,chronos2,nmse,0.6407547573895611,repeat,0.8310208509951135,22.895465664636028
electricity,168,24,none,True,True,512,1,168:24,short,repeat,nmse,0.8310208509951135,repeat,0.8310208509951135,0.0
electricity,336,48,none,False,False,512,1,336:48,mid,chronos2,nmse,0.2027176643254056,repeat,0.4853670428979831,58.234151392925575
electricity,336,48,none,False,False,512,1,336:48,mid,repeat,nmse,0.4853670428979831,repeat,0.4853670428979831,0.0
electricity,336,48,none,False,True,512,1,336:48,mid,chronos2,nmse,0.20349267911072721,repeat,0.48742141205268563,58.25118181539148
electricity,336,48,none,False,True,512,1,336:48,mid,repeat,nmse,0.48742141205268563,repeat,0.48742141205268563,0.0
electricity,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,0.20263500430116774,repeat,0.4853670428906889,58.25118180782541
electricity,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,0.4853670428906889,repeat,0.4853670428906889,0.0
electricity,336,48,none,True,True,512,1,336:48,mid,chronos2,nmse,0.2034926791437479,repeat,0.48742141204536055,58.251181807989504
electricity,336,48,none,True,True,512,1,336:48,mid,repeat,nmse,0.48742141204536055,repeat,0.48742141204536055,0.0
