dataset,model,metric,mean_value,mean_reference_value,mean_improvement_pct,configurations,reference_models
electricity,chronos2/identity,nmse,0.0572221462972732,0.3509794868720742,88.25672773043762,3,chronos2/none
electricity,chronos2/none,nmse,0.3509794868720742,0.3509794868720742,0.0,3,chronos2/none
electricity,ts_icl/identity,nmse,0.1357093883379409,0.36468470453127816,76.50200157368236,3,ts_icl/none
electricity,ts_icl/none,nmse,0.36468470453127816,0.36468470453127816,0.0,3,ts_icl/none
exchange_rate,chronos2/identity,nmse,18.013515270566014,19.125563559194713,10.970613574003943,3,chronos2/none
exchange_rate,chronos2/none,nmse,19.125563559194713,19.125563559194713,0.0,3,chronos2/none
exchange_rate,ts_icl/identity,nmse,19.69677982710562,19.491950625911247,3.6493132254664182,3,ts_icl/none
exchange_rate,ts_icl/none,nmse,19.491950625911247,19.491950625911247,0.0,3,ts_icl/none
solar,chronos2/identity,nmse,0.10015365130489713,0.1708745693148073,42.00391874560315,3,chronos2/none
solar,chronos2/none,nmse,0.1708745693148073,0.1708745693148073,0.0,3,chronos2/none
solar,ts_icl/identity,nmse,0.00014860038898509693,0.1928409076699731,99.92183040238295,3,ts_icl/none
solar,ts_icl/none,nmse,0.1928409076699731,0.1928409076699731,0.0,3,ts_icl/none
time/coastal_t_s_h_part01,chronos2/identity,nmse,0.18100148073254593,4.827515287917568,98.17610588289836,3,chronos2/none
time/coastal_t_s_h_part01,chronos2/none,nmse,4.827515287917568,4.827515287917568,0.0,3,chronos2/none
time/coastal_t_s_h_part01,ts_icl/identity,nmse,2.387934638180901,4.710447705827593,79.0120050170372,3,ts_icl/none
time/coastal_t_s_h_part01,ts_icl/none,nmse,4.710447705827593,4.710447705827593,0.0,3,ts_icl/none
time/coastal_t_s_h_part02,chronos2/identity,nmse,0.016744128001543384,1.3792792984934907,98.39432291775437,3,chronos2/none
time/coastal_t_s_h_part02,chronos2/none,nmse,1.3792792984934907,1.3792792984934907,0.0,3,chronos2/none
time/coastal_t_s_h_part02,ts_icl/identity,nmse,0.053736805639808094,1.5365556761445032,96.39167661040081,3,ts_icl/none
time/coastal_t_s_h_part02,ts_icl/none,nmse,1.5365556761445032,1.5365556761445032,0.0,3,ts_icl/none
time/coastal_t_s_h_part03,chronos2/identity,nmse,0.019263124873519197,0.8428291202123676,96.68024358461889,3,chronos2/none
time/coastal_t_s_h_part03,chronos2/none,nmse,0.8428291202123676,0.8428291202123676,0.0,3,chronos2/none
time/coastal_t_s_h_part03,ts_icl/identity,nmse,0.019647545795542388,0.8976447791077945,98.0579969757295,3,ts_icl/none
time/coastal_t_s_h_part03,ts_icl/none,nmse,0.8976447791077945,0.8976447791077945,0.0,3,ts_icl/none
time/coastal_t_s_h_part04,chronos2/identity,nmse,3.651629724374024,11.091288741907306,87.71072318434732,3,chronos2/none
time/coastal_t_s_h_part04,chronos2/none,nmse,11.091288741907306,11.091288741907306,0.0,3,chronos2/none
time/coastal_t_s_h_part04,ts_icl/identity,nmse,6.951090117540989,11.093701846602956,78.02209296540396,3,ts_icl/none
time/coastal_t_s_h_part04,ts_icl/none,nmse,11.093701846602956,11.093701846602956,0.0,3,ts_icl/none
time/coastal_t_s_h_part05,chronos2/identity,nmse,0.08509891105232364,1.7790753955613194,96.75771286078965,3,chronos2/none
time/coastal_t_s_h_part05,chronos2/none,nmse,1.7790753955613194,1.7790753955613194,0.0,3,chronos2/none
time/coastal_t_s_h_part05,ts_icl/identity,nmse,0.04966057464968832,1.7056789823440954,98.65886548398186,3,ts_icl/none
time/coastal_t_s_h_part05,ts_icl/none,nmse,1.7056789823440954,1.7056789823440954,0.0,3,ts_icl/none
time/coastal_t_s_h_part06,chronos2/identity,nmse,0.01418727608988919,0.5956654370560375,97.55402820983583,3,chronos2/none
time/coastal_t_s_h_part06,chronos2/none,nmse,0.5956654370560375,0.5956654370560375,0.0,3,chronos2/none
time/coastal_t_s_h_part06,ts_icl/identity,nmse,0.001543448752628623,0.6149106277719573,99.76786020064196,3,ts_icl/none
time/coastal_t_s_h_part06,ts_icl/none,nmse,0.6149106277719573,0.6149106277719573,0.0,3,ts_icl/none
time/coastal_t_s_h_part07,chronos2/identity,nmse,156616949765295.84,156616949765296.28,65.97096600706048,3,chronos2/none
time/coastal_t_s_h_part07,chronos2/none,nmse,156616949765296.28,156616949765296.28,0.0,3,chronos2/none
time/coastal_t_s_h_part07,ts_icl/identity,nmse,156616949765295.84,156616949765296.28,66.06416726719628,3,ts_icl/none
