covariate_mode,data_config_path,data_covariate_mode,data_effective_options_aggr,data_effective_options_date_col,data_source,data_source_mtime_ns,data_source_size,dataset,horizon,inference_batch_size,inference_device,inference_model_load_seconds,inference_seconds,inference_seconds_per_series_window,inference_seconds_per_user,instance_normalize,lags,lookback_period,mase_seasonality,metrics_mae,metrics_mase,metrics_mse,metrics_nmae,metrics_nmse,metrics_sample_std_mae,metrics_sample_std_mase,metrics_sample_std_mse,metrics_sample_std_nmae,metrics_sample_std_nmse,metrics_user_mean_mae,metrics_user_mean_mase,metrics_user_mean_mse,metrics_user_mean_nmae,metrics_user_mean_nmse,metrics_user_std_mae,metrics_user_std_mase,metrics_user_std_mse,metrics_user_std_nmae,metrics_user_std_nmse,metrics_w10_mae,metrics_w10_mase,metrics_w10_mse,metrics_w10_nmae,metrics_w10_nmse,model,query_dates,remove_constant,removed_constant_windows,run_dir,seed,series_windows,stride,users,summary_path,run_path,run_label,manifest_id,identity_signature
identity,/fssmall/home/h61084/codes/datasets/electricity/config.json,identity,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,168,32,cuda,0.6200599679723382,42.517604522639886,0.002672046538627444,0.13627437346999963,True,504,,1,9.960133799128739,0.035740824737519356,57690.94984918048,0.010842691121821686,0.017678222025281905,151.69809154642743,0.19216782151675874,6174733.761377028,0.09410651634189376,0.9335669417083022,9.960133799128739,0.035740824737519356,57690.949849180484,0.010842691121821686,0.017678222025281905,77.34272564738635,0.04012802738505939,1000044.7279990254,0.016051074483415428,0.14244076964094024,76.59995736159823,0.10412692684136952,562214.1305659476,0.0315392228549885,0.17095104321880822,ts_icl,51,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/covariates/electricity/504_168/ts_icl/identity/instance/keep/run_0,1,15912,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/covariates/electricity/504_168/ts_icl/identity/instance/keep/run_0/summary.json,electricity/504_168/ts_icl/identity/instance/keep/run_0,ts_icl,3b5bf5d6-3e51-42c8-a34c-2a59b97e5dc0,1150654b88ec7ddcc146f567ffc713c2249f591bc2c1afd6182a18a10a6d8b15
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,168,32,cuda,0.7545609860680997,40.54126554122195,0.0025478422285835816,0.12993995365776265,True,504,,1,202.01516082055764,0.8890523342755162,4935268.589574353,0.27405006731001125,0.2645130513120956,1516.831039228021,0.9822504383688331,167261840.18273702,0.2532999929374069,2.3400377976653197,202.01516082055764,0.8890523342755162,4935268.589574353,0.27405006731001125,0.2645130513120956,1227.2069700448064,0.4446199669768913,79009277.767237,0.1192860808884224,0.49219939047112593,1435.6210640224756,1.8204095324492264,47955927.45911378,0.538299281532447,1.1879317357899672,ts_icl,51,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/covariates/electricity/504_168/ts_icl/none/instance/keep/run_0,1,15912,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/covariates/electricity/504_168/ts_icl/none/instance/keep/run_0/summary.json,electricity/504_168/ts_icl/none/instance/keep/run_0,ts_icl,a36fdf69-5bac-4d3c-8ff8-a37f1264cd17,93daf79ea08bceac47871b7f8485d959a53d47d03522a2784f491357147219ad
identity,/fssmall/home/h61084/codes/datasets/exchange_rate/config.json,identity,,date,/fssmall/home/h61084/codes/datasets/exchange_rate/exchange_rate.csv,1787699099000000000,630212,exchange_rate,1,64,cuda,5.512490698136389,0.218494126573205,0.0018207843881100417,0.027311765821650624,True,7,,1,0.001973949687089771,1.0052381066624851,1.0098685407322884e-05,0.8932653143361676,2.794754943028379,0.0024904232593016377,1.331791248214758,2.011699125965684e-05,1.4130930543042284,15.621164839138832,0.001973949687089771,1.0052381066624854,1.0098685407322884e-05,0.8932653143361677,2.794754943028379,0.0014118335085092982,0.32568113509130703,9.23876658935122e-06,0.3271366724006926,3.7487370287208837,0.0038993438084920246,1.7195024710769455,2.5046258666113394e-05,1.5764809923246503,12.594535363822555,chronos2,15,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/7_1/chronos2/identity/instance/keep/run_0,1,120,512,8,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/7_1/chronos2/identity/instance/keep/run_0/summary.json,exchange_rate/7_1/chronos2/identity/instance/keep/run_0,chronos2,806f9a03-ddec-465b-adfa-6cebf29ca244,2a9ee2683fc4345a226bc7cbfe49c38505219950eea31e4b64f192dd99b5d015
none,/fssmall/home/h61084/codes/datasets/exchange_rate/config.json,none,,date,/fssmall/home/h61084/codes/datasets/exchange_rate/exchange_rate.csv,1787699099000000000,630212,exchange_rate,1,64,cuda,5.543247711844742,0.21300595067441463,0.0017750495889534553,0.02662574383430183,True,7,,1,0.0020669672444152336,1.064432738147055,1.1084348728465565e-05,0.948480170740125,3.0708646663063672,0.002609979902820875,1.39121490877466,2.216439341657599e-05,1.4735162270595985,16.483644583782507,0.0020669672444152336,1.064432738147055,1.1084348728465565e-05,0.9484801707401251,3.070864666306367,0.0014807972179855227,0.3430409932806169,1.0313434291089472e-05,0.3445122416800504,3.9618930844460456,0.004089879989624024,1.8105606692532699,2.7212290154920994e-05,1.6546215801189343,13.397152190160705,chronos2,15,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/7_1/chronos2/none/instance/keep/run_0,1,120,512,8,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/7_1/chronos2/none/instance/keep/run_0/summary.json,exchange_rate/7_1/chronos2/none/instance/keep/run_0,chronos2,2953867e-5133-491e-854f-52ff7ee00816,a55b67b352136773ecc82529719031f030bed8fc67daf5052e5095de6c7f5d14
identity,/fssmall/home/h61084/codes/datasets/exchange_rate/config.json,identity,,date,/fssmall/home/h61084/codes/datasets/exchange_rate/exchange_rate.csv,1787699099000000000,630212,exchange_rate,1,32,cuda,0.6551769971847534,1.4358253125101328,0.01196521093758444,0.1794781640637666,True,7,,1,0.0024984798471753794,1.1604728303849696,2.0497744290293443e-05,1.0191662312155434,3.898399469605738,0.0037756248297129125,1.6150867235182458,5.378133501863886e-05,1.6910646429746718,20.073004947737385,0.0024984798471753794,1.1604728303849698,2.0497744290293443e-05,1.0191662312155434,3.898399469605738,0.0019095728515403586,0.3175342304064231,2.124808342190299e-05,0.3458968808187071,4.5131989594882285,0.005312363306681315,1.6815273036559424,6.408471388681391e-05,1.551129534219702,15.45182266239996,ts_icl,15,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/7_1/ts_icl/identity/instance/keep/run_0,1,120,512,8,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/7_1/ts_icl/identity/instance/keep/run_0/summary.json,exchange_rate/7_1/ts_icl/identity/instance/keep/run_0,ts_icl,5b03bef3-b538-4aa6-81fe-a4aa92c6d2dd,abd883e47baa51dd191fa1c51020fb9b5b79a1b09afeaf4983774d23fe18082e
none,/fssmall/home/h61084/codes/datasets/exchange_rate/config.json,none,,date,/fssmall/home/h61084/codes/datasets/exchange_rate/exchange_rate.csv,1787699099000000000,630212,exchange_rate,1,32,cuda,0.656247609294951,1.347659045830369,0.011230492048586409,0.16845738072879612,True,7,,1,0.0022177566851799687,1.1048017400316894,1.3078518041997433e-05,0.9899152053830524,3.6232697865918455,0.0028565842286185955,1.4980847966843907,3.0867742523711646e-05,1.6258344362908097,20.284989907455486,0.0022177566851799687,1.1048017400316894,1.3078518041997433e-05,0.9899152053830524,3.6232697865918455,0.0017437238077369975,0.27528980039733103,1.3860240118467735e-05,0.2930783977932596,4.5033149835544295,0.005169105529785156,1.605505206932624,4.0716555410350945e-05,1.5230784957607588,15.261625131384546,ts_icl,15,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/7_1/ts_icl/none/instance/keep/run_0,1,120,512,8,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/7_1/ts_icl/none/instance/keep/run_0/summary.json,exchange_rate/7_1/ts_icl/none/instance/keep/run_0,ts_icl,9514fcf9-e22b-40e1-b411-e66219c2845f,6c7ff453859b9a0847d68ab53eaa3c301a6364fb5ea7bb52500591bf0c9308ee
identity,/fssmall/home/h61084/codes/datasets/exchange_rate/config.json,identity,,date,/fssmall/home/h61084/codes/datasets/exchange_rate/exchange_rate.csv,1787699099000000000,630212,exchange_rate,2,64,cuda,5.43922804761678,0.2230868050828576,0.0018590567090238134,0.0278858506353572,True,14,,1,0.0034358319748813908,1.6600337338633835,3.6901082764461264e-05,0.888732343710338,2.0881705229539267,0.004477016531052741,2.1642982498922376,9.318202913011954e-05,0.9532247011525555,4.9310102852545015,0.0034358319748813903,1.6600337338633835,3.6901082764461264e-05,0.888732343710338,2.0881705229539267,0.002520516530462926,0.31256899784573533,3.6628797410683114e-05,0.1306932560095441,0.8178757448352539,0.008013427257537842,2.3149889598290128,0.00011817978335481409,1.0869791905085247,3.2576447684317826,chronos2,15,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/14_2/chronos2/identity/instance/keep/run_0,1,120,512,8,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/14_2/chronos2/identity/instance/keep/run_0/summary.json,exchange_rate/14_2/chronos2/identity/instance/keep/run_0,chronos2,a7f2fe73-219d-4248-bc75-866dbb8b5337,6d3d0ba55d97a6b18b1368c6d2f879bd1ac6feb089964a908a78afea83e58b49
none,/fssmall/home/h61084/codes/datasets/exchange_rate/config.json,none,,date,/fssmall/home/h61084/codes/datasets/exchange_rate/exchange_rate.csv,1787699099000000000,630212,exchange_rate,2,64,cuda,5.539834168739617,0.21423496026545763,0.0017852913355454803,0.026779370033182204,True,14,,1,0.0037891864446767914,1.8298807962642363,4.4524595308501885e-05,0.9863589935625593,2.576361401187023,0.0049308228801684915,2.385257938437097,0.00011297443289075989,1.0684291045530334,6.16452327951991,0.003789186444676792,1.829880796264236,4.452459530850188e-05,0.9863589935625593,2.576361401187023,0.0028048991008985955,0.3387429401391231,4.473003521599045e-05,0.13421724580094133,0.9957394655867468,0.008924345175425211,2.559266875684261,0.0001440269999875454,1.1868875379363695,4.104463447847714,chronos2,15,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/14_2/chronos2/none/instance/keep/run_0,1,120,512,8,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/14_2/chronos2/none/instance/keep/run_0/summary.json,exchange_rate/14_2/chronos2/none/instance/keep/run_0,chronos2,5a14f241-dfb2-40e8-ac60-9544187a3d16,5c2dd9e6601c3111c5720d90054c9430076333f494564a419014f981833f35ac
identity,/fssmall/home/h61084/codes/datasets/exchange_rate/config.json,identity,,date,/fssmall/home/h61084/codes/datasets/exchange_rate/exchange_rate.csv,1787699099000000000,630212,exchange_rate,2,32,cuda,0.6529567129909992,1.4123896360397339,0.011769913633664449,0.17654870450496674,True,14,,1,0.003561768434398497,1.7563042739561447,3.9187980436099714e-05,0.9423647297701488,2.4802573088874245,0.004642893121509669,2.3637322174621165,9.325080158583634e-05,1.0695019679339028,5.81541156474313,0.003561768434398497,1.756304273956145,3.9187980436099714e-05,0.9423647297701487,2.480257308887425,0.0025555183458190857,0.27280089611848457,3.648192493279131e-05,0.10437832219708597,0.7683083293113065,0.008128102620442708,2.3598432780553895,0.00011908454394434405,1.1376850411295891,3.9292273484616698,ts_icl,15,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/14_2/ts_icl/identity/instance/keep/run_0,1,120,512,8,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/14_2/ts_icl/identity/instance/keep/run_0/summary.json,exchange_rate/14_2/ts_icl/identity/instance/keep/run_0,ts_icl,7732862a-d017-42be-8716-10c8800ef050,64c8fcc98802cfe885a46d30b6ba2c90b65a5d8d1fd57a3ad8a5e8387dc1d2e5
none,/fssmall/home/h61084/codes/datasets/exchange_rate/config.json,none,,date,/fssmall/home/h61084/codes/datasets/exchange_rate/exchange_rate.csv,1787699099000000000,630212,exchange_rate,2,32,cuda,0.6933380980044603,1.35341084189713,0.011278423682476084,0.16917635523714125,True,14,,1,0.004698887614843746,2.1548501729344327,5.711392682180017e-05,1.1845215040879944,3.1169998652127107,0.0054256773365770365,2.3464735379761925,0.00011428673302139342,1.1002596362951667,6.27986521501435,0.004698887614843746,2.1548501729344327,5.711392682180016e-05,1.1845215040879946,3.1169998652127107,0.0035448700009447173,0.21484397833624996,5.911363793971834e-05,0.14618550925165924,0.9130271098199514,0.011314868927001953,2.4663601597150167,0.00019074292043418003,1.4687366386254628,4.458299479726702,ts_icl,15,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/14_2/ts_icl/none/instance/keep/run_0,1,120,512,8,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/covariates/exchange_rate/14_2/ts_icl/none/instance/keep/run_0/summary.json,exchange_rate/14_2/ts_icl/none/instance/keep/run_0,ts_icl,e92f40d7-36be-445b-b124-7897200ee90c,f0fd9042882f3df72fd11373202c5df635098af519a9df69b8734013b313691b
