dataset,lags,horizon,instance_normalize,remove_constant,stride,seed,model,setting,range,covariate_mode,metric,value,reference_model,reference_value,improvement_pct
time/coastal_t_s_h_part02,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,1.6399417558596248,chronos2/none,1.6399417558596248,0.0
time/coastal_t_s_h_part02,504,168,True,False,512,1,ts_icl/identity,504:168,long,identity,nmse,0.061705484803540114,ts_icl/none,1.548099852034024,96.01411467597093
time/coastal_t_s_h_part02,504,168,True,False,512,1,ts_icl/none,504:168,long,none,nmse,1.548099852034024,ts_icl/none,1.548099852034024,0.0
time/coastal_t_s_h_part03,168,24,True,False,512,1,chronos2/identity,168:24,short,identity,nmse,0.012739324604072386,chronos2/none,0.3198532796065722,96.01713491268806
time/coastal_t_s_h_part03,168,24,True,False,512,1,chronos2/none,168:24,short,none,nmse,0.3198532796065722,chronos2/none,0.3198532796065722,0.0
time/coastal_t_s_h_part03,168,24,True,False,512,1,ts_icl/identity,168:24,short,identity,nmse,0.007655380252669731,ts_icl/none,0.361787993993078,97.88401484300881
time/coastal_t_s_h_part03,168,24,True,False,512,1,ts_icl/none,168:24,short,none,nmse,0.361787993993078,ts_icl/none,0.361787993993078,0.0
time/coastal_t_s_h_part03,336,48,True,False,512,1,chronos2/identity,336:48,mid,identity,nmse,0.014295244428683958,chronos2/none,0.32939506357624415,95.66015219734005
time/coastal_t_s_h_part03,336,48,True,False,512,1,chronos2/none,336:48,mid,none,nmse,0.32939506357624415,chronos2/none,0.32939506357624415,0.0
time/coastal_t_s_h_part03,336,48,True,False,512,1,ts_icl/identity,336:48,mid,identity,nmse,0.006923861123920817,ts_icl/none,0.6177612659299657,98.8792011565345
time/coastal_t_s_h_part03,336,48,True,False,512,1,ts_icl/none,336:48,mid,none,nmse,0.6177612659299657,ts_icl/none,0.6177612659299657,0.0
time/coastal_t_s_h_part03,504,168,True,False,512,1,chronos2/identity,504:168,long,identity,nmse,0.030754805587801255,chronos2/none,1.8792390174542863,98.36344364382859
time/coastal_t_s_h_part03,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,1.8792390174542863,chronos2/none,1.8792390174542863,0.0
time/coastal_t_s_h_part03,504,168,True,False,512,1,ts_icl/identity,504:168,long,identity,nmse,0.04436339601003662,ts_icl/none,1.71338507740034,97.41077492764512
time/coastal_t_s_h_part03,504,168,True,False,512,1,ts_icl/none,504:168,long,none,nmse,1.71338507740034,ts_icl/none,1.71338507740034,0.0
time/coastal_t_s_h_part04,168,24,True,False,512,1,chronos2/identity,168:24,short,identity,nmse,0.00955341452936409,chronos2/none,0.6931576767252782,98.62175449394172
time/coastal_t_s_h_part04,168,24,True,False,512,1,chronos2/none,168:24,short,none,nmse,0.6931576767252782,chronos2/none,0.6931576767252782,0.0
time/coastal_t_s_h_part04,168,24,True,False,512,1,ts_icl/identity,168:24,short,identity,nmse,0.0024418201747511584,ts_icl/none,0.7456206819307483,99.67251174304498
time/coastal_t_s_h_part04,168,24,True,False,512,1,ts_icl/none,168:24,short,none,nmse,0.7456206819307483,ts_icl/none,0.7456206819307483,0.0
time/coastal_t_s_h_part04,336,48,True,False,512,1,chronos2/identity,336:48,mid,identity,nmse,0.008291017283343721,chronos2/none,0.7016330459099174,98.818325714321
time/coastal_t_s_h_part04,336,48,True,False,512,1,chronos2/none,336:48,mid,none,nmse,0.7016330459099174,chronos2/none,0.7016330459099174,0.0
time/coastal_t_s_h_part04,336,48,True,False,512,1,ts_icl/identity,336:48,mid,identity,nmse,0.0004311288095591291,ts_icl/none,0.7255512034574237,99.94057913383581
time/coastal_t_s_h_part04,336,48,True,False,512,1,ts_icl/none,336:48,mid,none,nmse,0.7255512034574237,ts_icl/none,0.7255512034574237,0.0
time/coastal_t_s_h_part04,504,168,True,False,512,1,chronos2/identity,504:168,long,identity,nmse,10.937044741309364,chronos2/none,31.879075503086725,65.69208934477923
time/coastal_t_s_h_part04,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,31.879075503086725,chronos2/none,31.879075503086725,0.0
time/coastal_t_s_h_part04,504,168,True,False,512,1,ts_icl/identity,504:168,long,identity,nmse,20.850397403638656,ts_icl/none,31.8099336544207,34.4531880193311
time/coastal_t_s_h_part04,504,168,True,False,512,1,ts_icl/none,504:168,long,none,nmse,31.8099336544207,ts_icl/none,31.8099336544207,0.0
time/coastal_t_s_h_part05,168,24,True,False,512,1,chronos2/identity,168:24,short,identity,nmse,0.010368644216587434,chronos2/none,0.7836240925885832,98.67683442678029
time/coastal_t_s_h_part05,168,24,True,False,512,1,chronos2/none,168:24,short,none,nmse,0.7836240925885832,chronos2/none,0.7836240925885832,0.0
time/coastal_t_s_h_part05,168,24,True,False,512,1,ts_icl/identity,168:24,short,identity,nmse,0.0006038726336182429,ts_icl/none,0.7304471170661063,99.91732835690505
time/coastal_t_s_h_part05,168,24,True,False,512,1,ts_icl/none,168:24,short,none,nmse,0.7304471170661063,ts_icl/none,0.7304471170661063,0.0
time/coastal_t_s_h_part05,336,48,True,False,512,1,chronos2/identity,336:48,mid,identity,nmse,0.014658173946186136,chronos2/none,0.5538515562716967,97.353411075549
time/coastal_t_s_h_part05,336,48,True,False,512,1,chronos2/none,336:48,mid,none,nmse,0.5538515562716967,chronos2/none,0.5538515562716967,0.0
time/coastal_t_s_h_part05,336,48,True,False,512,1,ts_icl/identity,336:48,mid,identity,nmse,0.00013429778934947442,ts_icl/none,0.603394615296752,99.97774295859709
time/coastal_t_s_h_part05,336,48,True,False,512,1,ts_icl/none,336:48,mid,none,nmse,0.603394615296752,ts_icl/none,0.603394615296752,0.0
time/coastal_t_s_h_part05,504,168,True,False,512,1,chronos2/identity,504:168,long,identity,nmse,0.23026991499419738,chronos2/none,3.9997505378236786,94.24289308003966
time/coastal_t_s_h_part05,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,3.9997505378236786,chronos2/none,3.9997505378236786,0.0
time/coastal_t_s_h_part05,504,168,True,False,512,1,ts_icl/identity,504:168,long,identity,nmse,0.14824355352609725,ts_icl/none,3.783195214669427,96.08152513644342
time/coastal_t_s_h_part05,504,168,True,False,512,1,ts_icl/none,504:168,long,none,nmse,3.783195214669427,ts_icl/none,3.783195214669427,0.0
time/coastal_t_s_h_part06,168,24,True,False,512,1,chronos2/identity,168:24,short,identity,nmse,0.010945966616938156,chronos2/none,0.39819677653057234,97.25111621638209
time/coastal_t_s_h_part06,168,24,True,False,512,1,chronos2/none,168:24,short,none,nmse,0.39819677653057234,chronos2/none,0.39819677653057234,0.0
time/coastal_t_s_h_part06,168,24,True,False,512,1,ts_icl/identity,168:24,short,identity,nmse,0.00048276739991186853,ts_icl/none,0.41081146822710124,99.88248443939618
time/coastal_t_s_h_part06,168,24,True,False,512,1,ts_icl/none,168:24,short,none,nmse,0.41081146822710124,ts_icl/none,0.41081146822710124,0.0
time/coastal_t_s_h_part06,336,48,True,False,512,1,chronos2/identity,336:48,mid,identity,nmse,0.01820713033278783,chronos2/none,0.6659236125470627,97.2658830547924
time/coastal_t_s_h_part06,336,48,True,False,512,1,chronos2/none,336:48,mid,none,nmse,0.6659236125470627,chronos2/none,0.6659236125470627,0.0
time/coastal_t_s_h_part06,336,48,True,False,512,1,ts_icl/identity,336:48,mid,identity,nmse,0.0036864182601718874,ts_icl/none,0.7163093538866157,99.4853594693173
time/coastal_t_s_h_part06,336,48,True,False,512,1,ts_icl/none,336:48,mid,none,nmse,0.7163093538866157,ts_icl/none,0.7163093538866157,0.0
time/coastal_t_s_h_part06,504,168,True,False,512,1,chronos2/identity,504:168,long,identity,nmse,0.01340873131994158,chronos2/none,0.7228759220904775,98.145085358333
time/coastal_t_s_h_part06,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,0.7228759220904775,chronos2/none,0.7228759220904775,0.0
time/coastal_t_s_h_part06,504,168,True,False,512,1,ts_icl/identity,504:168,long,identity,nmse,0.00046116059780211397,ts_icl/none,0.7176110612021552,99.93573669321239
time/coastal_t_s_h_part06,504,168,True,False,512,1,ts_icl/none,504:168,long,none,nmse,0.7176110612021552,ts_icl/none,0.7176110612021552,0.0
time/coastal_t_s_h_part07,168,24,True,False,512,1,chronos2/identity,168:24,short,identity,nmse,469850849295887.5,chronos2/none,469850849295887.75,5.3208374609654677e-14
