setting,model,metric,mean_value,mean_reference_value,mean_improvement_pct,configurations,reference_models
336:48,chronos2,nmse,48.06595717423398,48.06595717423398,0.0,51,chronos2
336:48,chronos_bolt,nmse,48.20490371733184,48.06595717423398,-23.050041777210467,51,chronos2
336:48,chronos_t5,nmse,232360628525.08072,48.06595717423398,-62410091995667.836,51,chronos2
336:48,ts_icl,nmse,48.04293037748311,48.06595717423398,-4.032780525621763,51,chronos2
504:168,chronos2,nmse,7.962832126651011,7.962832126651011,0.0,51,chronos2
504:168,chronos_bolt,nmse,8.347760536681408,7.962832126651011,-42.97127538246126,51,chronos2
504:168,chronos_t5,nmse,288950101209.8869,7.962832126651011,-37306109190009.64,51,chronos2
504:168,ts_icl,nmse,7.90491274081256,7.962832126651011,1.7553657387875665,51,chronos2
14:2,chronos2,nmse,2.92624842977658,2.92624842977658,0.0,13,chronos2
14:2,chronos_bolt,nmse,2.954676078679794,2.92624842977658,-8.184014989225268,13,chronos2
14:2,chronos_t5,nmse,3258450.2033751523,2.92624842977658,-125015748.9213319,13,chronos2
14:2,ts_icl,nmse,3.6728843919757117,2.92624842977658,-78.61223760416678,13,chronos2
30:7,chronos2,nmse,5.0413377898245875,5.0413377898245875,0.0,13,chronos2
30:7,chronos_bolt,nmse,5.217536828586394,5.0413377898245875,-7.508599355336079,13,chronos2
30:7,chronos_t5,nmse,3258098.282083485,5.0413377898245875,-6298107.867955162,13,chronos2
30:7,ts_icl,nmse,5.349375275094415,5.0413377898245875,-27.09647183785414,13,chronos2
