dataset,lags,horizon,covariate_mode,instance_normalize,remove_constant,stride,seed,setting,range,model,metric,value,reference_model,reference_value,improvement_pct
electricity,336,48,none,False,False,512,1,336:48,mid,chronos2,nmse,0.17569796401377236,chronos2,0.17569796401377236,0.0
electricity,336,48,none,False,False,512,1,336:48,mid,chronos_bolt,nmse,0.17499891708633594,chronos2,0.17569796401377236,0.39786854182420595
electricity,336,48,none,False,False,512,1,336:48,mid,chronos_t5,nmse,0.18676328025751995,chronos2,0.17569796401377236,-6.297919447080346
electricity,336,48,none,False,False,512,1,336:48,mid,ts_icl,nmse,0.18536763221186048,chronos2,0.17569796401377236,-5.503574416679154
electricity,504,168,none,False,False,512,1,504:168,long,chronos2,nmse,0.24782999046821788,chronos2,0.24782999046821788,0.0
electricity,504,168,none,False,False,512,1,504:168,long,chronos_bolt,nmse,0.2376318578784874,chronos2,0.24782999046821788,4.114971142299385
electricity,504,168,none,False,False,512,1,504:168,long,chronos_t5,nmse,0.26680749352620586,chronos2,0.24782999046821788,-7.657468340346681
electricity,504,168,none,False,False,512,1,504:168,long,ts_icl,nmse,0.26451305195966135,chronos2,0.24782999046821788,-6.731655624052865
exchange_rate,14,2,none,False,False,512,1,14:2,mid,chronos2,nmse,2.6064299664712354,chronos2,2.6064299664712354,0.0
exchange_rate,14,2,none,False,False,512,1,14:2,mid,chronos_bolt,nmse,2.7007352246611847,chronos2,2.6064299664712354,-3.6181773307965086
exchange_rate,14,2,none,False,False,512,1,14:2,mid,chronos_t5,nmse,42359816.29468438,chronos2,2.6064299664712354,-1625204368.9324234
exchange_rate,14,2,none,False,False,512,1,14:2,mid,ts_icl,nmse,3.417680746485712,chronos2,2.6064299664712354,-31.12497901153293
exchange_rate,30,7,none,False,False,512,1,30:7,long,chronos2,nmse,51.73144519346218,chronos2,51.73144519346218,0.0
exchange_rate,30,7,none,False,False,512,1,30:7,long,chronos_bolt,nmse,52.34562846883782,chronos2,51.73144519346218,-1.1872532713492898
exchange_rate,30,7,none,False,False,512,1,30:7,long,chronos_t5,nmse,42355261.63358078,chronos2,51.73144519346218,-81875172.33229826
exchange_rate,30,7,none,False,False,512,1,30:7,long,ts_icl,nmse,51.882968516993515,chronos2,51.73144519346218,-0.29290371255757136
solar,336,48,none,False,False,512,1,336:48,mid,chronos2,nmse,0.2103948040478277,chronos2,0.2103948040478277,0.0
solar,336,48,none,False,False,512,1,336:48,mid,chronos_bolt,nmse,0.1850737929885016,chronos2,0.2103948040478277,12.034998285209571
solar,336,48,none,False,False,512,1,336:48,mid,chronos_t5,nmse,0.2805941355647719,chronos2,0.2103948040478277,-33.36552527266132
solar,336,48,none,False,False,512,1,336:48,mid,ts_icl,nmse,0.23113703439573002,chronos2,0.2103948040478277,-9.858717966812108
solar,504,168,none,False,False,512,1,504:168,long,chronos2,nmse,0.1653876763795686,chronos2,0.1653876763795686,0.0
solar,504,168,none,False,False,512,1,504:168,long,chronos_bolt,nmse,0.15807457280559398,chronos2,0.1653876763795686,4.421794739525144
solar,504,168,none,False,False,512,1,504:168,long,chronos_t5,nmse,0.2310508693106146,chronos2,0.1653876763795686,-39.70259112918875
solar,504,168,none,False,False,512,1,504:168,long,ts_icl,nmse,0.1833401474286802,chronos2,0.1653876763795686,-10.854781590806232
time/coastal_t_s_h_part01,336,48,none,False,False,512,1,336:48,mid,chronos2,nmse,1.2807072881840516,chronos2,1.2807072881840516,0.0
