dataset,model,metric,mean_value,mean_reference_value,mean_improvement_pct,configurations,reference_models
electricity,chronos2,nmse,0.3554824096127683,0.49308776932175014,31.33533455490669,3,lookback
electricity,expected,nmse,1.2451266172192763,0.49308776932175014,-181.51880896570003,3,lookback
electricity,lookback,nmse,0.49308776932175014,0.49308776932175014,0.0,3,lookback
electricity,persistence,nmse,1.8721855794991094,0.49308776932175014,-333.72209921655184,3,lookback
electricity,repeat,nmse,0.536302548369543,0.49308776932175014,-11.867293971553499,3,lookback
exchange_rate,chronos2,nmse,67.53611918524224,67.46721399783512,-2.3627619088213465,3,persistence
exchange_rate,expected,nmse,70.2347138469841,67.46721399783512,-151.966967388891,3,persistence
exchange_rate,lookback,nmse,68.66601104133787,67.46721399783512,-42.488946895218376,3,persistence
exchange_rate,persistence,nmse,67.46721399783512,67.46721399783512,0.0,3,persistence
exchange_rate,repeat,nmse,68.5712651687251,67.46721399783512,-38.66875751156304,3,persistence
solar,chronos2,nmse,0.1708745693148073,0.3178146163909128,43.09889892405298,3,"lookback,repeat"
solar,expected,nmse,1.0064429059668392,0.3178146163909128,-255.97380317269008,3,"lookback,repeat"
solar,lookback,nmse,0.41085429699063525,0.3178146163909128,-49.295114048583734,3,"lookback,repeat"
solar,persistence,nmse,1.3947229384053703,0.3178146163909128,-392.38918931528116,3,"lookback,repeat"
solar,repeat,nmse,0.34627714483060146,0.3178146163909128,-6.691061041348191,3,"lookback,repeat"
traffic,chronos2,nmse,0.2542996065327057,0.40559175144670084,37.39355892453981,3,lookback
traffic,expected,nmse,1.0502087167452012,0.40559175144670084,-159.4924096238582,3,lookback
traffic,lookback,nmse,0.40559175144670084,0.40559175144670084,0.0,3,lookback
traffic,persistence,nmse,2.372439680906854,0.40559175144670084,-486.20134913338416,3,lookback
traffic,repeat,nmse,0.5931591868516187,0.40559175144670084,-44.63154970384317,3,lookback
