covariate_mode,data_config_path,data_covariate_mode,data_effective_options_aggr,data_effective_options_date_col,data_source,data_source_mtime_ns,data_source_size,dataset,horizon,inference_batch_size,inference_device,inference_model_load_seconds,inference_seconds,inference_seconds_per_series_window,inference_seconds_per_user,instance_normalize,lags,lookback_period,mase_seasonality,metrics_mae,metrics_mase,metrics_mse,metrics_nmae,metrics_nmse,metrics_sample_std_mae,metrics_sample_std_mase,metrics_sample_std_mse,metrics_sample_std_nmae,metrics_sample_std_nmse,metrics_user_mean_mae,metrics_user_mean_mase,metrics_user_mean_mse,metrics_user_mean_nmae,metrics_user_mean_nmse,metrics_user_std_mae,metrics_user_std_mase,metrics_user_std_mse,metrics_user_std_nmae,metrics_user_std_nmse,metrics_w10_mae,metrics_w10_mase,metrics_w10_mse,metrics_w10_nmae,metrics_w10_nmse,model,query_dates,remove_constant,removed_constant_windows,run_dir,seed,series_windows,stride,users,summary_path,run_path,run_label,manifest_id,identity_signature
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,24,64,cuda,5.655722866766155,4.93804884981364,0.0003043669162853575,0.01582707964683859,True,168,,1,169.18777864221167,0.804637501030438,2215383.971565116,0.25582433779804825,0.6294105067680767,1110.8338806449017,1.8753500665394434,52396064.65215929,0.5898891488486975,30.414555804794087,169.18777864221167,0.8046375010304379,2215383.971565116,0.2558243377980482,0.6294105067680765,897.0547097996473,0.46503436761280414,32135316.155750006,0.14386297975926746,4.5543427116156785,1177.0830190135882,1.7001606672162708,21474624.002830062,0.5581648374836032,5.007249289541325,chronos2,52,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/univariate/electricity/168_24/chronos2/none/instance/keep/run_0,1,16224,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/univariate/electricity/168_24/chronos2/none/instance/keep/run_0/summary.json,electricity/168_24/chronos2/none/instance/keep/run_0,chronos2,999afd1a-b0b7-450c-b89e-4bd8219b3beb,a85cc4c993194415758883a9a79208b0a0ab3ddb4899fca660b99ddb4ff6e726
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,24,512,cuda,0.00010567065328359604,0.018705977126955986,1.1529818248863403e-06,5.99550548940897e-05,True,168,,1,915.3110588420531,3.0078890307852815,58493792.89792326,0.8930377558054434,1.5240863998646956,7058.299002791773,2.168718406053,1347207517.1570137,0.5810051394068794,30.512320897485196,915.311058842053,3.0078890307852815,58493792.897923246,0.8930377558054433,1.5240863998646954,6220.7793883691775,0.9238903966456665,965920219.8491875,0.09744799129230204,4.555980749565663,6886.597724987911,4.679145088114847,568975044.475492,1.0377382894512266,5.760794665274891,expected,52,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/univariate/electricity/168_24/expected/none/instance/keep/run_0,1,16224,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/univariate/electricity/168_24/expected/none/instance/keep/run_0/summary.json,electricity/168_24/expected/none/instance/keep/run_0,expected,3deac065-3ae1-42ad-a1fc-be0629ea1e37,a4e0b7fd26178fc9bae1b375822cdee9ba89353d44281c256f1e0327135fe149
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,24,512,cuda,0.00010689068585634232,0.015548254363238811,9.583490115408538e-07,4.98341486001244e-05,True,168,168.0,1,286.5992664330901,1.1742049514826938,11889864.829516465,0.3647024610718744,0.7955504881331648,2617.63122707891,2.2555450675174167,437111300.88323885,0.6333609613991256,30.656468596362103,286.5992664330901,1.1742049514826938,11889864.829516467,0.3647024610718743,0.7955504881331646,1860.213481657953,0.6845971911965361,194703406.16883343,0.19522765735821382,4.692210049056135,2081.1865270932512,2.462506048249164,115644616.16511098,0.7732557647566585,5.579787839585791,lookback,52,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/univariate/electricity/168_24/lookback/none/instance/keep/run_0,1,16224,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/univariate/electricity/168_24/lookback/none/instance/keep/run_0/summary.json,electricity/168_24/lookback/none/instance/keep/run_0,lookback,c046291b-522a-4f8f-8ece-95b59d9f3d45,039445556bb73d44275a80381bbbcb7e696770c55a90072bbd9d4b40a4752895
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,24,512,cuda,0.00010827090591192245,0.02031320333480835,1.2520465566326645e-06,6.510642094489855e-05,True,168,,1,1059.0972791649342,3.3623307754914324,110554741.75323607,1.0149495203505758,2.1177012577949306,8442.305427553578,2.2126681060848323,2731896067.5366597,0.6318616366586028,30.287036956013736,1059.0972791649342,3.362330775491432,110554741.75323606,1.014949520350576,2.117701257794931,7386.565097090626,0.8387852416155736,1842934184.6916404,0.10357222881302805,4.448091684624726,8026.881224448864,4.85051142669265,1075838512.706963,1.1735154348929289,6.373142583604198,persistence,52,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/univariate/electricity/168_24/persistence/none/instance/keep/run_0,1,16224,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/univariate/electricity/168_24/persistence/none/instance/keep/run_0/summary.json,electricity/168_24/persistence/none/instance/keep/run_0,persistence,839a92d5-68b8-41d2-ade7-1c524a8e1c9d,d632eac0964587714acfb01065ee7cd23baba6f486beebb2c61161e3e23ace8f
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,24,512,cuda,0.00010313093662261963,0.015606557950377464,9.619426744562046e-07,5.002101907172264e-05,True,168,,1,209.43533592143933,1.1237994313673567,2766960.8721439196,0.35031500730213894,0.8147815350771465,1182.917210420997,2.144187055004731,59790343.24329521,0.6321118114485572,30.364212532756074,209.43533592143933,1.1237994313673567,2766960.872143919,0.35031500730213894,0.8147815350771465,977.4350251033118,0.7409801687103088,38518185.13916244,0.20025957994939206,4.5981089462381535,1403.9726719443615,2.835002503917517,26728453.15696419,0.794335628907832,5.6445375310790284,repeat,52,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/univariate/electricity/168_24/repeat/none/instance/keep/run_0,1,16224,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/univariate/electricity/168_24/repeat/none/instance/keep/run_0/summary.json,electricity/168_24/repeat/none/instance/keep/run_0,repeat,be744d81-546e-406f-9e9c-62d8f90457fe,aa2a0fe020ef4224d1d08daf5c3392887de3eee870a8d0e3b3da5d4b9b557d65
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,48,64,cuda,5.573652922175825,5.682266660965979,0.00035710574792395544,0.01821239314412173,True,336,,1,153.96335445501293,0.7377397540752818,1835071.6665952806,0.2336778416074864,0.1756979641045388,949.8837563784309,0.7194956179205423,41482494.837939285,0.21120597134644783,1.3151885684031457,153.9633544550129,0.7377397540752819,1835071.6665952806,0.23367784160748636,0.1756979641045388,828.9537450101467,0.3132247923731795,28690644.614193175,0.10183373861930926,0.28088514467802334,1055.7030566323037,1.440771377429722,17796100.866781946,0.45377356670317515,0.7784206962511306,chronos2,51,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/univariate/electricity/336_48/chronos2/none/instance/keep/run_0,1,15912,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/univariate/electricity/336_48/chronos2/none/instance/keep/run_0/summary.json,electricity/336_48/chronos2/none/instance/keep/run_0,chronos2,af2488c8-61bd-41fc-99a4-a95db3fbdaf7,e8bf3ad8930d7860842c87cf3130f2ce784ae69715b1abea42bc6b790e69ed86
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,48,512,cuda,0.00011401157826185226,0.01906658336520195,1.1982518454752356e-06,6.111084411923702e-05,True,336,,1,869.5412258181971,2.9389446084240105,50646133.78238821,0.8682686091148304,1.0660662993926937,6464.795540153665,1.285282995821179,1149015561.0686562,0.20949926614333017,1.4060485653100507,869.5412258181971,2.9389446084240105,50646133.78238822,0.8682686091148304,1.0660662993926935,5730.198655275278,0.8574114175089961,829732504.0801855,0.05531916940022544,0.2710732894999772,6487.613690619375,4.527254547449012,492529421.1120557,0.9635422894703772,1.5796882086342163,expected,51,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/univariate/electricity/336_48/expected/none/instance/keep/run_0,1,15912,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/univariate/electricity/336_48/expected/none/instance/keep/run_0/summary.json,electricity/336_48/expected/none/instance/keep/run_0,expected,2c2d884c-0ff0-470a-be77-139d9dc7e669,57080c068135090c3198edb42dd6c3254ea4ceb96aa399248909e5fabe76b642
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,48,512,cuda,0.00010862108319997787,0.015794903971254826,9.926410238345164e-07,5.062469221556034e-05,True,336,168.0,1,252.23929820493433,1.0907808495958666,7855246.4601468565,0.3382534355177539,0.33623729903187355,2042.80605892832,1.2098074003647334,238128882.2134836,0.2892329717392817,1.4530603994271345,252.2392982049343,1.0907808495958666,7855246.460146859,0.33825343551775394,0.33623729903187355,1601.6650604232325,0.590967581649827,129319052.61827497,0.15664875291259572,0.46847703813421054,1804.0794110387756,2.329968610850486,76377966.95108639,0.6863115006797147,1.405344230075067,lookback,51,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/univariate/electricity/336_48/lookback/none/instance/keep/run_0,1,15912,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/univariate/electricity/336_48/lookback/none/instance/keep/run_0/summary.json,electricity/336_48/lookback/none/instance/keep/run_0,lookback,16706b1d-0334-4df9-acfe-d62cd47f48b0,5dac77c0eefff791f9d006f5d6c7dbd6bb38fec52fc1bb49216fe9dca687d8a6
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,48,512,cuda,0.00010605063289403915,0.01902551855891943,1.1956711009878977e-06,6.097922615038279e-05,True,336,,1,1011.8728207974974,3.338260862333018,93340202.28197567,0.9998216796613394,1.6515555947863791,7689.920055806977,1.4268517751587888,2318063795.9491215,0.32317135407135383,1.670906733697886,1011.8728207974972,3.338260862333018,93340202.28197567,0.9998216796613392,1.651555594786379,6746.270221178813,0.8274610617075404,1542665455.341487,0.08392211190194558,0.3041449744378103,7574.017890630983,4.809204313995353,908056160.9144455,1.133892033011744,2.2655107749096866,persistence,51,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/univariate/electricity/336_48/persistence/none/instance/keep/run_0,1,15912,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/univariate/electricity/336_48/persistence/none/instance/keep/run_0/summary.json,electricity/336_48/persistence/none/instance/keep/run_0,persistence,d6fecff1-8735-4d7e-a693-e3a6a799d24d,7658db6a30ae7a0ba18fbfbeafa62b3d24cb212e4891265978b37e5b3d79e7c8
none,/fssmall/home/h61084/codes/datasets/electricity/config.json,none,,date,/fssmall/home/h61084/codes/datasets/electricity/electricity.csv,1787699097000000000,95581762,electricity,48,512,cuda,0.00011019129306077957,0.015872018411755562,9.97487331055528e-07,5.087185388383193e-05,True,336,,1,229.34814116551178,1.2723542414001592,3305188.152305908,0.38853355396673356,0.45388254496129254,1269.4786590892138,1.4536683962368533,71216513.30660516,0.3342367297817447,1.529518545513611,229.34814116551178,1.2723542414001592,3305188.152305908,0.3885335539667336,0.4538825449612926,1111.1571128047797,1.0581987133492843,50188397.40473288,0.23145536232547345,0.5912743038925867,1527.4281975099561,3.7293642998910417,31985288.242228437,0.90738498082946,1.8745231963088655,repeat,51,False,0,/fssmall/home/h61084/codes/tsfm/outputs_selena/univariate/electricity/336_48/repeat/none/instance/keep/run_0,1,15912,512,312,/fslarge/scratch/users/h61084/codes/tsfm/outputs_selena/univariate/electricity/336_48/repeat/none/instance/keep/run_0/summary.json,electricity/336_48/repeat/none/instance/keep/run_0,repeat,9565a8b3-52ff-4b74-862d-663045868b33,df9ba55e42003b88ba6a21e731621b49fe33818bf8e2a138d4b1a1b94f162f68
