range,model,metric,mean_value,mean_reference_value,mean_improvement_pct,configurations,reference_models
short,chronos2,nmse,2.775250326798985e+16,2.775250326798985e+16,9.558841086235033,63,"expected,lookback,persistence,repeat"
short,expected,nmse,2.775250326798985e+16,2.775250326798985e+16,-140.85635282320666,63,"expected,lookback,persistence,repeat"
short,lookback,nmse,2.775250326798985e+16,2.775250326798985e+16,-372.2824004813942,63,"expected,lookback,persistence,repeat"
short,persistence,nmse,2.775250326798985e+16,2.775250326798985e+16,-95.52193607916539,63,"expected,lookback,persistence,repeat"
short,repeat,nmse,2.775250326798985e+16,2.775250326798985e+16,-34.21499550002672,63,"expected,lookback,persistence,repeat"
mid,chronos2,nmse,39.49587592981188,39.68146890626592,23.53777046275651,63,"expected,lookback,persistence,repeat"
mid,expected,nmse,40.54903944039754,39.68146890626592,-126.91724941126245,63,"expected,lookback,persistence,repeat"
mid,lookback,nmse,41.28856112429068,39.68146890626592,-182.19529255572803,63,"expected,lookback,persistence,repeat"
mid,persistence,nmse,40.302755188473725,39.68146890626592,-47.70904407395442,63,"expected,lookback,persistence,repeat"
mid,repeat,nmse,40.05402782126232,39.68146890626592,-36.426428669755005,63,"expected,lookback,persistence,repeat"
long,chronos2,nmse,7.463248865071249,7.711553464232347,17.011975101422784,63,"expected,lookback,persistence"
long,expected,nmse,8.486770950575142,7.711553464232347,-82.76571866366332,63,"expected,lookback,persistence"
long,lookback,nmse,8.55126342546274,7.711553464232347,-54.31812166279649,63,"expected,lookback,persistence"
long,persistence,nmse,8.164415153292103,7.711553464232347,-46.18410642231175,63,"expected,lookback,persistence"
long,repeat,nmse,8.55126342546274,7.711553464232347,-54.31812166279649,63,"expected,lookback,persistence"
