dataset,lags,horizon,covariate_mode,instance_normalize,remove_constant,stride,seed,setting,range,model,metric,value,reference_model,reference_value,improvement_pct
solar,504,168,none,True,False,512,1,504:168,long,repeat,nmse,0.3393222924838536,lookback,0.3393222924838536,0.0
time/coastal_t_s_h_part01,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,1.1607089427176533,expected,1.6454632381598155,29.46005016704484
time/coastal_t_s_h_part01,168,24,none,True,False,512,1,168:24,short,expected,nmse,1.6454632381598155,expected,1.6454632381598155,0.0
time/coastal_t_s_h_part01,168,24,none,True,False,512,1,168:24,short,lookback,nmse,4.071325739772589,expected,1.6454632381598155,-147.4273289949466
time/coastal_t_s_h_part01,168,24,none,True,False,512,1,168:24,short,persistence,nmse,1.8505693723974914,expected,1.6454632381598155,-12.464947832383901
time/coastal_t_s_h_part01,168,24,none,True,False,512,1,168:24,short,repeat,nmse,2.0149492487771745,expected,1.6454632381598155,-22.454832295771574
time/coastal_t_s_h_part01,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,1.280707077586764,expected,1.3386216536164284,4.326433527591763
time/coastal_t_s_h_part01,336,48,none,True,False,512,1,336:48,mid,expected,nmse,1.3386216536164284,expected,1.3386216536164284,0.0
time/coastal_t_s_h_part01,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,2.1538639764015293,expected,1.3386216536164284,-60.90162373981007
time/coastal_t_s_h_part01,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,1.7268189061505836,expected,1.3386216536164284,-28.999773870787106
time/coastal_t_s_h_part01,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,1.946692388707864,expected,1.3386216536164284,-45.425138122386414
time/coastal_t_s_h_part01,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,12.041129843448289,expected,12.16662177319328,1.0314443243521136
time/coastal_t_s_h_part01,504,168,none,True,False,512,1,504:168,long,expected,nmse,12.16662177319328,expected,12.16662177319328,0.0
time/coastal_t_s_h_part01,504,168,none,True,False,512,1,504:168,long,lookback,nmse,12.830817519687116,expected,12.16662177319328,-5.459163265494614
time/coastal_t_s_h_part01,504,168,none,True,False,512,1,504:168,long,persistence,nmse,12.428328764178636,expected,12.16662177319328,-2.1510243012729737
time/coastal_t_s_h_part01,504,168,none,True,False,512,1,504:168,long,repeat,nmse,12.830817519687116,expected,12.16662177319328,-5.459163265494614
time/coastal_t_s_h_part02,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,0.5894211765733504,persistence,1.3931207234660785,57.690588716039414
time/coastal_t_s_h_part02,168,24,none,True,False,512,1,168:24,short,expected,nmse,3.140906736964271,persistence,1.3931207234660785,-125.45833136052333
time/coastal_t_s_h_part02,168,24,none,True,False,512,1,168:24,short,lookback,nmse,5.7119551840282625,persistence,1.3931207234660785,-310.01150064130417
time/coastal_t_s_h_part02,168,24,none,True,False,512,1,168:24,short,persistence,nmse,1.3931207234660785,persistence,1.3931207234660785,0.0
time/coastal_t_s_h_part02,168,24,none,True,False,512,1,168:24,short,repeat,nmse,1.7840843388722056,persistence,1.3931207234660785,-28.06387191150321
time/coastal_t_s_h_part02,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,1.9084749630474973,repeat,2.450929187593006,22.132594743719988
time/coastal_t_s_h_part02,336,48,none,True,False,512,1,336:48,mid,expected,nmse,2.655572799699647,repeat,2.450929187593006,-8.349633810008868
time/coastal_t_s_h_part02,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,3.2977571870599474,repeat,2.450929187593006,-34.551304205511926
time/coastal_t_s_h_part02,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,2.8968503943511417,repeat,2.450929187593006,-18.193965334268324
time/coastal_t_s_h_part02,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,2.450929187593006,repeat,2.450929187593006,0.0
time/coastal_t_s_h_part02,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,1.6399417558596248,persistence,1.852220513081799,11.46077131329122
time/coastal_t_s_h_part02,504,168,none,True,False,512,1,504:168,long,expected,nmse,3.9370410577172326,persistence,1.852220513081799,-112.55790171369094
time/coastal_t_s_h_part02,504,168,none,True,False,512,1,504:168,long,lookback,nmse,3.4776597150734494,persistence,1.852220513081799,-87.756246651603
time/coastal_t_s_h_part02,504,168,none,True,False,512,1,504:168,long,persistence,nmse,1.852220513081799,persistence,1.852220513081799,0.0
time/coastal_t_s_h_part02,504,168,none,True,False,512,1,504:168,long,repeat,nmse,3.4776597150734494,persistence,1.852220513081799,-87.756246651603
time/coastal_t_s_h_part03,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,0.3198532796065722,repeat,0.5346958685134139,40.18033457115667
time/coastal_t_s_h_part03,168,24,none,True,False,512,1,168:24,short,expected,nmse,2.30889326050168,repeat,0.5346958685134139,-331.81430724740244
time/coastal_t_s_h_part03,168,24,none,True,False,512,1,168:24,short,lookback,nmse,4.990770058972495,repeat,0.5346958685134139,-833.3848179616692
time/coastal_t_s_h_part03,168,24,none,True,False,512,1,168:24,short,persistence,nmse,1.0529342907525243,repeat,0.5346958685134139,-96.92209211938383
time/coastal_t_s_h_part03,168,24,none,True,False,512,1,168:24,short,repeat,nmse,0.5346958685134139,repeat,0.5346958685134139,0.0
time/coastal_t_s_h_part03,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,0.32939506357624415,repeat,1.2625350334814616,73.91002587326771
time/coastal_t_s_h_part03,336,48,none,True,False,512,1,336:48,mid,expected,nmse,2.0210825094864484,repeat,1.2625350334814616,-60.08130118284951
time/coastal_t_s_h_part03,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,3.6331769355705807,repeat,1.2625350334814616,-187.76840556669814
time/coastal_t_s_h_part03,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,1.3099855152623994,repeat,1.2625350334814616,-3.7583497109060255
time/coastal_t_s_h_part03,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,1.2625350334814616,repeat,1.2625350334814616,0.0
time/coastal_t_s_h_part03,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,1.8792390174542863,persistence,1.6757027175691392,-12.146325105947632
