setting,model,metric,mean_value,mean_reference_value,mean_improvement_pct,configurations,reference_models
168:24,chronos2,nmse,9397016985918.5,9397016985918.793,27.59796408380575,50,"expected,lookback,persistence,repeat"
168:24,expected,nmse,9397016985919.44,9397016985918.793,-82.79339195990198,50,"expected,lookback,persistence,repeat"
168:24,lookback,nmse,9397016985920.96,9397016985918.793,-240.1478287766713,50,"expected,lookback,persistence,repeat"
168:24,persistence,nmse,9397016985919.38,9397016985918.793,-88.92246331027647,50,"expected,lookback,persistence,repeat"
168:24,repeat,nmse,9397016985918.93,9397016985918.793,-11.675718180561748,50,"expected,lookback,persistence,repeat"
336:48,chronos2,nmse,49.00458044823784,49.29426074244738,34.740263440403965,50,"expected,lookback,persistence,repeat"
336:48,expected,nmse,49.71005826953322,49.29426074244738,-47.42022581729415,50,"expected,lookback,persistence,repeat"
336:48,lookback,nmse,50.607406926818605,49.29426074244738,-119.10199380832833,50,"expected,lookback,persistence,repeat"
336:48,persistence,nmse,50.0180939288126,49.29426074244738,-52.59008544016795,50,"expected,lookback,persistence,repeat"
336:48,repeat,nmse,49.63552544196013,49.29426074244738,-23.63997078555225,50,"expected,lookback,persistence,repeat"
504:168,chronos2,nmse,8.092985341014495,8.39921812421248,19.996352206010965,50,"expected,lookback,persistence"
504:168,expected,nmse,8.747447858485945,8.39921812421248,-28.481424943868486,50,"expected,lookback,persistence"
504:168,lookback,nmse,9.253086382034603,8.39921812421248,-50.146541257485836,50,"expected,lookback,persistence"
504:168,persistence,nmse,8.89471673333091,8.39921812421248,-49.30540650832745,50,"expected,lookback,persistence"
504:168,repeat,nmse,9.253086382034603,8.39921812421248,-50.146541257485836,50,"expected,lookback,persistence"
7:1,chronos2,nmse,1.3445675807954344e+17,1.3445675807954344e+17,-59.82240121211389,13,"expected,lookback,persistence"
7:1,expected,nmse,1.3445675807954344e+17,1.3445675807954344e+17,-364.1754330666863,13,"expected,lookback,persistence"
7:1,lookback,nmse,1.3445675807954344e+17,1.3445675807954344e+17,-880.4922916534051,13,"expected,lookback,persistence"
7:1,persistence,nmse,1.3445675807954344e+17,1.3445675807954344e+17,-120.90452365181508,13,"expected,lookback,persistence"
7:1,repeat,nmse,1.3445675807954344e+17,1.3445675807954344e+17,-120.90452365181508,13,"expected,lookback,persistence"
14:2,chronos2,nmse,2.9239354743274046,2.709192613260304,-19.548740989733705,13,"expected,lookback,persistence,repeat"
14:2,expected,nmse,5.314351636029562,2.709192613260304,-432.67503246498666,13,"expected,lookback,persistence,repeat"
14:2,lookback,nmse,5.446846499183265,2.709192613260304,-424.8618261995731,13,"expected,lookback,persistence,repeat"
14:2,persistence,nmse,2.9360677256319514,2.709192613260304,-28.935808050056206,13,"expected,lookback,persistence,repeat"
14:2,repeat,nmse,3.2021138955015402,2.709192613260304,-85.60511283976561,13,"expected,lookback,persistence,repeat"
30:7,chronos2,nmse,5.041185496058768,5.066689387385689,5.533601622237474,13,"expected,lookback,persistence"
30:7,expected,nmse,7.484167458610513,5.066689387385689,-291.55146373979727,13,"expected,lookback,persistence"
30:7,lookback,nmse,5.851944361724811,5.066689387385689,-70.3626616832221,13,"expected,lookback,persistence"
30:7,persistence,nmse,5.355562922373614,5.066689387385689,-34.179106091482105,13,"expected,lookback,persistence"
30:7,repeat,nmse,5.851944361724811,5.066689387385689,-70.3626616832221,13,"expected,lookback,persistence"
